gene_id	chr	start	end	length
FBgn0267995	2L	283807	284255	449
FBgn0267996	2L	286383	288292	1910
FBgn0025686	2L	287252	289144	1893
FBgn0031247	2L	292419	293222	804
FBgn0017457	2L	292959	294681	1723
FBgn0024352	2L	295122	297449	2328
FBgn0020622	2L	297880	305233	7354
FBgn0004611	2L	305935	355566	49632
FBgn0263872	2L	308537	309348	812
FBgn0031248	2L	318362	319259	898
FBgn0031249	2L	320279	321248	970
FBgn0053127	2L	322101	323091	991
FBgn0264086	2L	325522	329761	4240
FBgn0051921	2L	329910	332335	2426
FBgn0031250	2L	355565	357874	2310
FBgn0266907	2L	355663	356891	1229
FBgn0266906	2L	357329	358174	846
FBgn0000061	2L	378112	387439	9328
FBgn0263871	2L	396120	396571	452
FBgn0031251	2L	396595	402198	5604
FBgn0003278	2L	404285	407969	3685
FBgn0264855	2L	408030	414777	6748
FBgn0263933	2L	415067	418536	3470
FBgn0031252	2L	418434	419652	1219
FBgn0002593	2L	419952	420864	913
FBgn0031253	2L	420895	421450	556
FBgn0031254	2L	421771	422489	719
FBgn0031255	2L	422873	425321	2449
FBgn0004583	2L	431227	448701	17475
FBgn0263870	2L	439539	440104	566
FBgn0015924	2L	448254	453024	4771
FBgn0031256	2L	453108	454654	1547
FBgn0262510	2L	454754	455313	560
FBgn0031257	2L	455531	458745	3215
FBgn0031258	2L	458876	472200	13325
FBgn0027592	2L	473013	476170	3158
FBgn0003963	2L	476220	540560	64341
FBgn0043364	2L	476446	479688	3243
FBgn0267991	2L	490835	492649	1815
FBgn0267992	2L	500873	502236	1364
FBgn0010602	2L	540599	542580	1982
FBgn0031260	2L	542786	544653	1868
FBgn0005660	2L	544925	552923	7999
FBgn0031261	2L	545129	547096	1968
FBgn0260933	2L	553742	560310	6569
FBgn0031263	2L	559612	560523	912
FBgn0031264	2L	560568	563819	3252
FBgn0031265	2L	564163	566472	2310
FBgn0021874	2L	566366	568121	1756
FBgn0031266	2L	568340	572907	4568
FBgn0031267	2L	573033	574264	1232
FBgn0031268	2L	574291	575734	1444
FBgn0013323	2L	575711	576896	1186
FBgn0023489	2L	577486	579549	2064
FBgn0010323	2L	583540	594685	11146
FBgn0267827	2L	588048	588784	737
FBgn0031270	2L	602813	604430	1618
FBgn0263657	2L	605914	606412	499
FBgn0263658	2L	608340	609134	795
FBgn0040106	2L	620298	621201	904
FBgn0266032	2L	623107	623665	559
FBgn0266033	2L	623900	624323	424
FBgn0040107	2L	624617	625556	940
FBgn0031273	2L	625652	628200	2549
FBgn0266909	2L	628729	629052	324
FBgn0284247	2L	640013	714983	74971
FBgn0266323	2L	710568	715307	4740
FBgn0267993	2L	721985	724833	2849
FBgn0011244	2L	728362	730564	2203
FBgn0026438	2L	737212	744395	7184
FBgn0031275	2L	749945	762399	12455
FBgn0265825	2L	772514	773093	580
FBgn0031276	2L	773547	774017	471
FBgn0040725	2L	776536	776941	406
FBgn0031277	2L	779173	779655	483
FBgn0041250	2L	780482	782885	2404
FBgn0031279	2L	784336	788776	4441
FBgn0000442	2L	786153	790798	4646
FBgn0266797	2L	799856	800323	468
FBgn0051658	2L	810577	811531	955
FBgn0086130	2L	811584	813380	1797
FBgn0031281	2L	813314	815950	2637
FBgn0031282	2L	815993	818096	2104
FBgn0031283	2L	816994	817950	957
FBgn0031284	2L	818079	819508	1430
FBgn0015621	2L	819964	821209	1246
FBgn0031285	2L	821289	824337	3049
FBgn0031286	2L	824329	825861	1533
FBgn0010583	2L	825969	833241	7273
FBgn0020304	2L	833584	851071	17488
FBgn0264869	2L	850702	851163	462
FBgn0031287	2L	851251	852730	1480
FBgn0020545	2L	852768	854539	1772
FBgn0031288	2L	855337	856639	1303
FBgn0266884	2L	857403	860079	2677
FBgn0262177	2L	857542	857632	91
FBgn0031289	2L	860197	861806	1610
FBgn0029095	2L	861849	868354	6506
FBgn0020305	2L	868673	869857	1185
FBgn0053526	2L	870465	877038	6574
FBgn0031292	2L	877172	885141	7970
FBgn0002936	2L	877302	878270	969
FBgn0266887	2L	897453	898050	598
FBgn0002563	2L	898500	901316	2817
FBgn0003916	2L	901491	901654	164
FBgn0286735	2L	901976	902082	107
FBgn0266799	2L	904029	904347	319
FBgn0264870	2L	912981	913305	325
FBgn0046113	2L	914086	917805	3720
FBgn0028481	2L	922793	958098	35306
FBgn0266036	2L	987807	991300	3494
FBgn0031294	2L	1008378	1048053	39676
FBgn0287617	2L	1019659	1028737	9079
FBgn0031295	2L	1026105	1026897	793
FBgn0031296	2L	1037246	1038685	1440
FBgn0003310	2L	1049674	1077815	28142
FBgn0015905	2L	1077948	1080803	2856
FBgn0031298	2L	1080911	1085380	4470
FBgn0031299	2L	1083091	1102504	19414
FBgn0261938	2L	1103254	1108373	5120
FBgn0031301	2L	1108540	1112694	4155
FBgn0031302	2L	1112941	1114138	1198
FBgn0016926	2L	1114654	1128953	14300
FBgn0031304	2L	1129316	1132411	3096
FBgn0031305	2L	1132332	1134098	1767
FBgn0031306	2L	1134693	1141156	6464
FBgn0267281	2L	1142869	1143216	348
FBgn0031307	2L	1143201	1147395	4195
FBgn0283525	2L	1147822	1149449	1628
FBgn0031309	2L	1149445	1150677	1233
FBgn0031310	2L	1150766	1151764	999
FBgn0261458	2L	1151678	1158262	6585
FBgn0264267	2L	1158576	1159355	780
FBgn0031312	2L	1158661	1160220	1560
FBgn0031313	2L	1160290	1163886	3597
FBgn0031314	2L	1164443	1166425	1983
FBgn0031315	2L	1166506	1167211	706
FBgn0024314	2L	1167172	1170365	3194
FBgn0051922	2L	1170181	1170789	609
FBgn0031317	2L	1170753	1172805	2053
FBgn0031318	2L	1173009	1177589	4581
FBgn0031319	2L	1177690	1182454	4765
FBgn0031320	2L	1182297	1184020	1724
FBgn0031321	2L	1184065	1185698	1634
FBgn0031322	2L	1185757	1196807	11051
FBgn0031323	2L	1198465	1199266	802
FBgn0263080	2L	1199412	1199924	513
FBgn0263081	2L	1200205	1200663	459
FBgn0040723	2L	1200671	1201220	550
FBgn0031324	2L	1204215	1205250	1036
FBgn0266885	2L	1214649	1215293	645
FBgn0262944	2L	1216854	1217785	932
FBgn0259229	2L	1219293	1229802	10510
FBgn0031327	2L	1240036	1243018	2983
FBgn0041097	2L	1256417	1296596	40180
FBgn0011294	2L	1329161	1329993	833
FBgn0031331	2L	1334128	1335514	1387
FBgn0053923	2L	1341365	1342095	731
FBgn0053922	2L	1343443	1344171	729
FBgn0026141	2L	1344400	1345135	736
FBgn0266357	2L	1345501	1345840	340
FBgn0266358	2L	1345965	1346331	367
FBgn0031332	2L	1351728	1352868	1141
FBgn0031333	2L	1352970	1354109	1140
FBgn0051924	2L	1354101	1354919	819
FBgn0031335	2L	1354911	1355924	1014
FBgn0051659	2L	1358925	1359790	866
FBgn0053126	2L	1359837	1361821	1985
FBgn0031337	2L	1367996	1369050	1055
FBgn0266203	2L	1380083	1381326	1244
FBgn0002543	2L	1380086	1420453	40368
FBgn0266202	2L	1381211	1382796	1586
FBgn0263320	2L	1428474	1429159	686
FBgn0263321	2L	1442627	1443832	1206
FBgn0051928	2L	1492295	1493859	1565
FBgn0053128	2L	1494070	1495456	1387
FBgn0051926	2L	1495460	1497071	1612
FBgn0051661	2L	1497243	1498583	1341
FBgn0031343	2L	1498455	1500608	2154
FBgn0031344	2L	1500784	1502904	2121
FBgn0264873	2L	1500830	1504204	3375
FBgn0031345	2L	1516795	1517478	684
FBgn0001174	2L	1517533	1518148	616
FBgn0026398	2L	1520491	1522156	1666
FBgn0026397	2L	1522697	1524257	1561
FBgn0261509	2L	1555129	1609389	54261
FBgn0031347	2L	1584866	1587155	2290
FBgn0051935	2L	1594822	1611157	16336
FBgn0031351	2L	1611410	1612576	1167
FBgn0021906	2L	1612429	1614160	1732
FBgn0265814	2L	1618637	1626021	7385
FBgn0267259	2L	1646932	1647163	232
FBgn0086758	2L	1651258	1704682	53425
FBgn0011570	2L	1704902	1706962	2061
FBgn0031356	2L	1707132	1710421	3290
FBgn0266311	2L	1708452	1709244	793
FBgn0031357	2L	1710462	1711465	1004
FBgn0086698	2L	1711302	1715851	4550
FBgn0031359	2L	1716244	1724388	8145
FBgn0000579	2L	1724768	1729636	4869
FBgn0260648	2L	1728732	1729762	1031
FBgn0031360	2L	1729887	1731070	1184
FBgn0031361	2L	1731033	1732356	1324
FBgn0264494	2L	1732524	1750612	18089
FBgn0027597	2L	1750687	1752122	1436
FBgn0031364	2L	1752308	1752848	541
FBgn0041249	2L	1755253	1756451	1199
FBgn0031365	2L	1758286	1759093	808
FBgn0045497	2L	1784062	1785286	1225
FBgn0045498	2L	1789141	1790361	1221
FBgn0265138	2L	1790617	1791823	1207
FBgn0045500	2L	1792057	1793268	1212
FBgn0045501	2L	1793668	1794917	1250
FBgn0051933	2L	1821256	1823331	2076
FBgn0051664	2L	1824172	1826500	2329
FBgn0031367	2L	1831627	1832565	939
FBgn0262275	2L	1831685	1831799	115
FBgn0051665	2L	1836538	1858550	22013
FBgn0264882	2L	1839494	1839896	403
FBgn0264883	2L	1840070	1840808	739
FBgn0051663	2L	1858609	1881480	22872
FBgn0031372	2L	1869803	1871032	1230
FBgn0264884	2L	1872693	1873511	819
FBgn0031373	2L	1882008	1883214	1207
FBgn0031374	2L	1884622	1944289	59668
FBgn0011859	2L	1938089	1938159	71
FBgn0040719	2L	1945150	1945709	560
FBgn0053673	2L	1945815	1946728	914
FBgn0031375	2L	1950239	1970362	20124
FBgn0051942	2L	1965426	1965498	73
FBgn0267972	2L	1973957	1975413	1457
FBgn0031377	2L	1975463	1980755	5293
FBgn0031378	2L	1981176	1982099	924
FBgn0031379	2L	1982217	1984514	2298
FBgn0001125	2L	1984512	1987758	3247
FBgn0031381	2L	1988290	1988940	651
FBgn0262148	2L	1989450	1990894	1445
FBgn0043539	2L	1991381	1992160	780
FBgn0053543	2L	1997102	2006313	9212
FBgn0263441	2L	2000058	2003935	3878
FBgn0040718	2L	2006763	2007193	431
FBgn0267276	2L	2006867	2007688	822
FBgn0040717	2L	2008414	2009072	659
FBgn0051943	2L	2009155	2009226	72
FBgn0051944	2L	2009538	2009609	72
FBgn0031384	2L	2009859	2030788	20930
FBgn0051939	2L	2010646	2010717	72
FBgn0051940	2L	2010869	2010940	72
FBgn0051669	2L	2013179	2013250	72
FBgn0286732	2L	2014449	2014575	127
FBgn0011860	2L	2031692	2031762	71
FBgn0259192	2L	2032519	2036041	3523
FBgn0259230	2L	2036409	2037265	857
FBgn0003557	2L	2037714	2044372	6659
FBgn0266836	2L	2044517	2045381	865
FBgn0028952	2L	2045494	2048054	2561
FBgn0026396	2L	2054589	2057967	3379
FBgn0053516	2L	2058790	2109878	51089
FBgn0031388	2L	2079919	2081286	1368
FBgn0266043	2L	2082031	2082347	317
FBgn0264864	2L	2083362	2084419	1058
FBgn0031389	2L	2127309	2129237	1929
FBgn0004507	2L	2130813	2137296	6484
FBgn0031390	2L	2137350	2145187	7838
FBgn0031391	2L	2145297	2147275	1979
FBgn0027509	2L	2147518	2151664	4147
FBgn0031392	2L	2151754	2155389	3636
FBgn0031393	2L	2155753	2156790	1038
FBgn0000097	2L	2156484	2178754	22271
FBgn0265017	2L	2181962	2185495	3534
FBgn0264875	2L	2186975	2187970	996
FBgn0051946	2L	2187007	2187079	73
FBgn0266828	2L	2188620	2189405	786
FBgn0031395	2L	2189914	2192386	2473
FBgn0264874	2L	2190191	2191272	1082
FBgn0085201	2L	2192525	2197912	5388
FBgn0051668	2L	2203721	2206166	2446
FBgn0053124	2L	2206525	2209102	2578
FBgn0031397	2L	2209574	2212571	2998
FBgn0010288	2L	2212738	2214211	1474
FBgn0085203	2L	2214266	2215167	902
FBgn0031398	2L	2214972	2216311	1340
FBgn0040715	2L	2216503	2217246	744
FBgn0259717	2L	2216503	2217246	744
FBgn0031399	2L	2217290	2220625	3336
FBgn0031401	2L	2220748	2225544	4797
FBgn0031403	2L	2225545	2226294	750
FBgn0267378	2L	2226342	2231099	4758
FBgn0264945	2L	2226753	2227604	852
FBgn0262126	2L	2231106	2236844	5739
FBgn0264946	2L	2236347	2237022	676
FBgn0051679	2L	2237076	2238251	1176
FBgn0052463	2L	2238304	2239384	1081
FBgn0051682	2L	2239414	2240593	1180
FBgn0264979	2L	2242378	2245274	2897
FBgn0262106	2L	2245230	2247383	2154
FBgn0011832	2L	2250431	2251275	845
FBgn0042186	2L	2251510	2252341	832
FBgn0042187	2L	2253045	2253852	808
FBgn0031406	2L	2254176	2255050	875
FBgn0266022	2L	2257635	2258000	366
FBgn0266023	2L	2259396	2259730	335
FBgn0031407	2L	2263442	2264241	800
FBgn0054049	2L	2264231	2265321	1091
FBgn0250841	2L	2268106	2269140	1035
FBgn0264084	2L	2271319	2279714	8396
FBgn0264085	2L	2283705	2285003	1299
FBgn0031409	2L	2285163	2285926	764
FBgn0051681	2L	2285925	2286873	949
FBgn0261523	2L	2287025	2287907	883
FBgn0031410	2L	2288503	2289416	914
FBgn0028570	2L	2290224	2290738	515
FBgn0051949	2L	2300103	2300888	786
FBgn0031412	2L	2307948	2308872	925
FBgn0031413	2L	2308761	2357356	48596
FBgn0031414	2L	2311680	2358944	47265
FBgn0014010	2L	2359142	2365273	6132
FBgn0261647	2L	2365345	2370137	4793
FBgn0031417	2L	2370152	2371524	1373
FBgn0031418	2L	2372455	2374627	2173
FBgn0031419	2L	2374713	2375697	985
FBgn0266317	2L	2374955	2375582	628
FBgn0031420	2L	2375841	2380506	4666
FBgn0264672	2L	2381097	2383073	1977
FBgn0031422	2L	2383202	2384747	1546
FBgn0031423	2L	2384761	2385792	1032
FBgn0264081	2L	2389578	2390689	1112
FBgn0287218	2L	2391660	2392105	446
FBgn0031424	2L	2400295	2410662	10368
FBgn0031426	2L	2410624	2415322	4699
FBgn0051948	2L	2415359	2416720	1362
FBgn0085477	2L	2416792	2417965	1174
FBgn0085476	2L	2418422	2420013	1592
FBgn0031428	2L	2420830	2424647	3818
FBgn0264988	2L	2424797	2425041	245
FBgn0266217	2L	2427050	2427881	832
FBgn0000490	2L	2428372	2459823	31452
FBgn0012017	2L	2459924	2460044	121
FBgn0012016	2L	2462593	2462686	94
FBgn0266824	2L	2471644	2472978	1335
FBgn0264978	2L	2488197	2492671	4475
FBgn0011818	2L	2492955	2498846	5892
FBgn0265818	2L	2507312	2507596	285
FBgn0031430	2L	2517102	2518037	936
FBgn0267738	2L	2517205	2518845	1641
FBgn0264943	2L	2532999	2533569	571
FBgn0031431	2L	2551145	2552825	1681
FBgn0264944	2L	2555750	2556089	340
FBgn0031432	2L	2562483	2564830	2348
FBgn0041337	2L	2564886	2573037	8152
FBgn0026778	2L	2573436	2575052	1617
FBgn0085343	2L	2573436	2575052	1617
FBgn0031434	2L	2575280	2576997	1718
FBgn0031435	2L	2577687	2579179	1493
FBgn0031436	2L	2579201	2580172	972
FBgn0031437	2L	2580292	2581423	1132
FBgn0026479	2L	2581281	2585430	4150
FBgn0250835	2L	2591869	2592773	905
FBgn0266025	2L	2598608	2599860	1253
FBgn0266024	2L	2601033	2601721	689
FBgn0031440	2L	2609994	2611283	1290
FBgn0263322	2L	2620187	2620782	596
FBgn0267269	2L	2625456	2627986	2531
FBgn0284414	2L	2637669	2638540	872
FBgn0284413	2L	2639185	2640081	897
FBgn0264434	2L	2646030	2646281	252
FBgn0031441	2L	2646577	2647720	1144
FBgn0264433	2L	2647886	2648361	476
FBgn0053125	2L	2648360	2652414	4055
FBgn0031442	2L	2653046	2653926	881
FBgn0026395	2L	2654049	2655462	1414
FBgn0031443	2L	2655394	2657102	1709
FBgn0031444	2L	2665062	2666265	1204
FBgn0286882	2L	2669228	2669622	395
FBgn0041248	2L	2669823	2672186	2364
FBgn0051690	2L	2677734	2719431	41698
FBgn0031446	2L	2695330	2696437	1108
FBgn0031449	2L	2725674	2739830	14157
FBgn0263564	2L	2737568	2737661	94
FBgn0031450	2L	2739986	2743377	3392
FBgn0031451	2L	2743375	2744934	1560
FBgn0031452	2L	2745098	2746944	1847
FBgn0250906	2L	2746880	2753068	6189
FBgn0031453	2L	2752445	2757975	5531
FBgn0265997	2L	2757940	2758176	237
FBgn0031454	2L	2758427	2759677	1251
FBgn0031455	2L	2758427	2759677	1251
FBgn0031456	2L	2759924	2763889	3966
FBgn0031457	2L	2763416	2765665	2250
FBgn0031458	2L	2766233	2767281	1049
FBgn0026324	2L	2767286	2767845	560
FBgn0028398	2L	2767890	2768612	723
FBgn0019830	2L	2768590	2770069	1480
FBgn0031459	2L	2770135	2770904	770
FBgn0031460	2L	2770884	2771776	893
FBgn0004242	2L	2772327	2799979	27653
FBgn0264369	2L	2797832	2798321	490
FBgn0031461	2L	2805261	2812376	7116
FBgn0031462	2L	2812437	2814429	1993
FBgn0031463	2L	2814336	2815760	1425
FBgn0283531	2L	2815970	2830248	14279
FBgn0031465	2L	2823546	2825506	1961
FBgn0031466	2L	2834887	2837833	2947
FBgn0031467	2L	2838411	2839547	1137
FBgn0266881	2L	2840025	2840316	292
FBgn0031468	2L	2840124	2842638	2515
FBgn0031469	2L	2842589	2844513	1925
FBgn0031470	2L	2844601	2845734	1134
FBgn0031471	2L	2845926	2847212	1287
FBgn0031472	2L	2847632	2848997	1366
FBgn0031473	2L	2848989	2855778	6790
FBgn0015521	2L	2856070	2857029	960
FBgn0031474	2L	2857164	2868548	11385
FBgn0051694	2L	2868627	2874489	5863
FBgn0031476	2L	2869652	2870649	998
FBgn0031478	2L	2874890	2877168	2279
FBgn0031479	2L	2877091	2878232	1142
FBgn0051950	2L	2878344	2879001	658
FBgn0028970	2L	2879112	2880708	1597
FBgn0024947	2L	2880704	2885850	5147
FBgn0041111	2L	2885929	2954406	68478
FBgn0010263	2L	2954762	2968434	13673
FBgn0024920	2L	2968293	2969638	1346
FBgn0004584	2L	2969773	2972508	2736
FBgn0260639	2L	2972891	2974858	1968
FBgn0031483	2L	2974859	2976862	2004
FBgn0031484	2L	2977122	2978500	1379
FBgn0031485	2L	2978411	2979288	878
FBgn0250786	2L	2979562	2987723	8162
FBgn0025109	2L	2988116	2990075	1960
FBgn0002989	2L	2989594	2992759	3166
FBgn0025681	2L	2992870	2998726	5857
FBgn0031488	2L	2999286	3016069	16784
FBgn0031489	2L	3016441	3018308	1868
FBgn0031490	2L	3018508	3021506	2999
FBgn0031491	2L	3021309	3023141	1833
FBgn0031492	2L	3023226	3026439	3214
FBgn0031493	2L	3026252	3029168	2917
FBgn0031494	2L	3029253	3030616	1364
FBgn0264996	2L	3030412	3030903	492
FBgn0031495	2L	3030539	3032300	1762
FBgn0031496	2L	3032210	3035348	3139
FBgn0031497	2L	3035493	3037403	1911
FBgn0031498	2L	3037230	3038793	1564
FBgn0243513	2L	3038826	3039812	987
FBgn0031500	2L	3039976	3041890	1915
FBgn0031501	2L	3042551	3043593	1043
FBgn0042627	2L	3043947	3056143	12197
FBgn0263847	2L	3046765	3046880	116
FBgn0003934	2L	3048701	3048831	131
FBgn0283427	2L	3056598	3068177	11580
FBgn0015600	2L	3068345	3144786	76442
FBgn0005779	2L	3109672	3110998	1327
FBgn0031504	2L	3128635	3129489	855
FBgn0031505	2L	3144953	3145848	896
FBgn0011648	2L	3146056	3159643	13588
FBgn0260817	2L	3159950	3162399	2450
FBgn0051953	2L	3162515	3163289	775
FBgn0014906	2L	3163645	3169462	5818
FBgn0011985	2L	3169582	3169663	82
FBgn0264744	2L	3169820	3171092	1273
FBgn0264745	2L	3171035	3172799	1765
FBgn0011984	2L	3173003	3173084	82
FBgn0051698	2L	3173205	3173840	636
FBgn0031512	2L	3173972	3174504	533
FBgn0085422	2L	3175112	3200496	25385
FBgn0266875	2L	3210515	3211156	642
FBgn0266876	2L	3260973	3261281	309
FBgn0266877	2L	3261638	3262007	370
FBgn0267270	2L	3264168	3265714	1547
FBgn0265677	2L	3268269	3268646	378
FBgn0031513	2L	3269437	3271806	2370
FBgn0031514	2L	3275800	3280534	4735
FBgn0265678	2L	3287822	3288591	770
FBgn0031515	2L	3291245	3294706	3462
FBgn0031516	2L	3294926	3303130	8205
FBgn0031518	2L	3304100	3317418	13319
FBgn0031517	2L	3309222	3311682	2461
FBgn0031519	2L	3316794	3319872	3079
FBgn0031520	2L	3320245	3323141	2897
FBgn0053281	2L	3324237	3326637	2401
FBgn0053282	2L	3327903	3329792	1890
FBgn0031522	2L	3330928	3332876	1949
FBgn0031523	2L	3332814	3334790	1977
FBgn0020445	2L	3334875	3354829	19955
FBgn0031526	2L	3357646	3358618	973
FBgn0085423	2L	3358640	3373372	14733
FBgn0031528	2L	3373567	3375711	2145
FBgn0031529	2L	3375832	3376737	906
FBgn0016698	2L	3377002	3378590	1589
FBgn0266839	2L	3386863	3387278	416
FBgn0259949	2L	3387354	3387743	390
FBgn0259950	2L	3387882	3388496	615
FBgn0266026	2L	3389348	3389753	406
FBgn0266027	2L	3397323	3398444	1122
FBgn0085204	2L	3398023	3398684	662
FBgn0031530	2L	3404460	3426719	22260
FBgn0031531	2L	3410560	3411199	640
FBgn0051952	2L	3416693	3418068	1376
FBgn0031533	2L	3445992	3447589	1598
FBgn0031534	2L	3449683	3452106	2424
FBgn0031535	2L	3452466	3453755	1290
FBgn0031536	2L	3453697	3457064	3368
FBgn0266670	2L	3457302	3460367	3066
FBgn0031538	2L	3460322	3461952	1631
FBgn0005616	2L	3462218	3466112	3895
FBgn0263526	2L	3463290	3463400	111
FBgn0021967	2L	3466157	3467334	1178
FBgn0031540	2L	3467342	3470004	2663
FBgn0051776	2L	3470182	3472364	2183
FBgn0051956	2L	3472603	3475338	2736
FBgn0266912	2L	3475365	3476058	694
FBgn0264549	2L	3476343	3477648	1306
FBgn0261560	2L	3478434	3479612	1179
FBgn0031542	2L	3480755	3491071	10317
FBgn0014396	2L	3493986	3508119	14134
FBgn0287668	2L	3495334	3496000	667
FBgn0286737	2L	3504032	3504182	151
FBgn0266837	2L	3508598	3509036	439
FBgn0051954	2L	3509058	3510102	1045
FBgn0266838	2L	3509099	3509440	342
FBgn0284253	2L	3510328	3514656	4329
FBgn0031544	2L	3514872	3517264	2393
FBgn0031545	2L	3517273	3519651	2379
FBgn0031546	2L	3519677	3522555	2879
FBgn0031547	2L	3522521	3524056	1536
FBgn0031548	2L	3525131	3527588	2458
FBgn0031549	2L	3527387	3530317	2931
FBgn0031550	2L	3530789	3532678	1890
FBgn0265367	2L	3537844	3538333	490
FBgn0024244	2L	3539247	3548423	9177
FBgn0265368	2L	3562038	3563118	1081
FBgn0265960	2L	3563308	3563540	233
FBgn0264370	2L	3575350	3575806	457
FBgn0264363	2L	3576210	3576623	414
FBgn0004892	2L	3578013	3580769	2757
FBgn0284410	2L	3587068	3587469	402
FBgn0264371	2L	3588485	3590301	1817
FBgn0002985	2L	3604224	3606756	2533
FBgn0265369	2L	3616296	3617619	1324
FBgn0015663	2L	3619097	3621573	2477
FBgn0031554	2L	3621110	3621704	595
FBgn0000721	2L	3622074	3656953	34880
FBgn0263523	2L	3636967	3637073	107
FBgn0085369	2L	3662745	3692114	29370
FBgn0259951	2L	3667977	3668551	575
FBgn0259953	2L	3668691	3669134	444
FBgn0259952	2L	3669261	3669775	515
FBgn0261054	2L	3670131	3670581	451
FBgn0031558	2L	3692123	3692587	465
FBgn0031559	2L	3692699	3693182	484
FBgn0051779	2L	3693184	3693905	722
FBgn0263096	2L	3694105	3694418	314
FBgn0262721	2L	3694431	3695020	590
FBgn0031560	2L	3695032	3695411	380
FBgn0031561	2L	3696218	3696658	441
FBgn0031562	2L	3697242	3697872	631
FBgn0031563	2L	3698451	3699092	642
FBgn0259954	2L	3699464	3699826	363
FBgn0259955	2L	3700195	3700658	464
FBgn0259956	2L	3700674	3701092	419
FBgn0259957	2L	3701290	3701699	410
FBgn0262621	2L	3701826	3702248	423
FBgn0265370	2L	3702614	3702947	334
FBgn0031564	2L	3703659	3704253	595
FBgn0051778	2L	3704106	3705488	1383
FBgn0051777	2L	3706551	3707063	513
FBgn0015376	2L	3707230	3711748	4519
FBgn0051955	2L	3711881	3713105	1225
FBgn0031566	2L	3713360	3716810	3451
FBgn0040104	2L	3716800	3717773	974
FBgn0003386	2L	3718185	3729145	10961
FBgn0031568	2L	3730466	3754617	24152
FBgn0263846	2L	3757256	3769525	12270
FBgn0263842	2L	3765494	3765863	370
FBgn0262392	2L	3767621	3767688	68
FBgn0263843	2L	3769926	3770454	529
FBgn0004893	2L	3771700	3784121	12422
FBgn0051960	2L	3784947	3785622	676
FBgn0051958	2L	3785738	3786343	606
FBgn0031571	2L	3787167	3802726	15560
FBgn0021800	2L	3803545	3810671	7127
FBgn0031573	2L	3810801	3813410	2610
FBgn0264885	2L	3815438	3815948	511
FBgn0264886	2L	3817724	3818534	811
FBgn0003430	2L	3825675	3827099	1425
FBgn0004567	2L	3836840	3839185	2346
FBgn0266318	2L	3845130	3845716	587
FBgn0267007	2L	3851951	3852604	654
FBgn0267005	2L	3854288	3854994	707
FBgn0267006	2L	3856478	3857172	695
FBgn0264887	2L	3861405	3862097	693
FBgn0031574	2L	3862668	3867507	4840
FBgn0031575	2L	3867697	3871425	3729
FBgn0051957	2L	3871271	3872458	1188
FBgn0000256	2L	3872646	3902860	30215
FBgn0051774	2L	3902928	3991713	88786
FBgn0051773	2L	3911796	3914288	2493
FBgn0264341	2L	4000018	4000806	789
FBgn0266883	2L	4001084	4001620	537
FBgn0085205	2L	4004080	4004480	401
FBgn0031579	2L	4004984	4005670	687
FBgn0031580	2L	4006041	4006606	566
FBgn0264295	2L	4007690	4007984	295
FBgn0264296	2L	4008653	4009090	438
