FBgn	symbol	CG_alias	chr	start	end
FBgn0031256	shv	CG4164	2L	453108	454654
FBgn0262510	CR43080	CG43080	2L	454754	455313
FBgn0031257	CG4133		2L	455531	458745
FBgn0031258	CG4297		2L	458876	472200
FBgn0027592	MED15	CG4184	2L	473013	476170
FBgn0003963	ush	CG2762	2L	476220	540560
FBgn0043364	cbt	CG4427	2L	476446	479688
FBgn0267991	lncRNA:CR46258		2L	490835	492649
FBgn0267992	lncRNA:CR46259		2L	500873	502236
FBgn0010602	lwr	CG3018	2L	540599	542580
FBgn0031260	Spp	CG11840	2L	542786	544653
FBgn0005660	Ets21C	CG2914	2L	544925	552923
FBgn0031261	nAChRbeta3	CG11822	2L	545129	547096
FBgn0260933	rempA	CG11838	2L	553742	560310
FBgn0031263	Tspo	CG2789	2L	559612	560523
FBgn0031264	uncNacbeta	CG11835	2L	560568	563819
FBgn0031265	CG2794		2L	564163	566472
FBgn0021874	Nle	CG2863	2L	566366	568121
FBgn0031266	Sf3b1	CG2807	2L	568340	572907
FBgn0031267	Ipk2	CG13688	2L	573033	574264
FBgn0031268	cold	CG2813	2L	574291	575734
FBgn0013323	Ptth	CG13687	2L	575711	576896
FBgn0023489	Pph13	CG2819	2L	577486	579549
FBgn0010323	Gsc	CG2851	2L	583540	594685
FBgn0267827	lncRNA:CR46148		2L	588048	588784
FBgn0031270	CG13689		2L	602813	604430
FBgn0263657	lncRNA:CR43648		2L	605914	606412
FBgn0263658	lncRNA:CR43649		2L	608340	609134
FBgn0040106	lectin-21Cb	CG13686	2L	620298	621201
FBgn0266032	lncRNA:CR44797		2L	623107	623665
FBgn0266033	lncRNA:CR44798		2L	623900	624323
FBgn0040107	lectin-21Ca	CG2826	2L	624617	625556
FBgn0031273	CG2839		2L	625652	628200
FBgn0266909	lncRNA:CR45369		2L	628729	629052
FBgn0284247	ds	CG17941	2L	640013	714983
FBgn0266323	lncRNA:CR44988		2L	710568	715307
FBgn0267993	lncRNA:CR46260		2L	721985	724833
FBgn0011244	Hsp60B	CG2830	2L	728362	730564
FBgn0026438	Eaat2	CG3159	2L	737212	744395
FBgn0031275	GABA-B-R3	CG3022	2L	749945	762399
FBgn0265825	lncRNA:CR44614		2L	772514	773093
FBgn0031276	CG12506		2L	773547	774017
FBgn0040725	CG13946		2L	776536	776941
FBgn0031277	CG13947		2L	779173	779655
FBgn0041250	Gr21a	CG13948	2L	780482	782885
FBgn0031279	CG3544		2L	784336	788776
FBgn0000442	Pkg21D	CG3324	2L	786153	790798
FBgn0266797	lncRNA:CR45259		2L	799856	800323
FBgn0051658	Nnf1b	CG31658	2L	810577	811531
FBgn0086130	Dbp21E2	CG3561	2L	811584	813380
FBgn0031281	Saf6	CG3883	2L	813314	815950
FBgn0031282	Pex12	CG3639	2L	815993	818096
FBgn0031283	CG15880		2L	816994	817950
FBgn0031284	PGAP2	CG3876	2L	818079	819508
FBgn0015621	Clp	CG3642	2L	819964	821209
FBgn0031285	CG3662		2L	821289	824337
FBgn0031286	CG3862		2L	824329	825861
FBgn0010583	dock	CG3727	2L	825969	833241
FBgn0020304	drongo	CG3365	2L	833584	851071
FBgn0264869	lncRNA:CR44060		2L	850702	851163
FBgn0031287	CG4291		2L	851251	852730
FBgn0020545	kraken	CG3943	2L	852768	854539
FBgn0031288	CG13949		2L	855337	856639
FBgn0266884	lncRNA:CR45345		2L	857403	860079
FBgn0262177	mir-375		2L	857542	857632
FBgn0031289	CG13950		2L	860197	861806
FBgn0029095	aru	CG4276	2L	861849	868354
FBgn0020305	dbe	CG4258	2L	868673	869857
FBgn0053526	PNUTS	CG4124	2L	870465	877038
FBgn0031292	CG15824		2L	877172	885141
FBgn0002936	ninaA	CG3966	2L	877302	878270
FBgn0266887	lncRNA:CR45348		2L	897453	898050
FBgn0002563	Lsp1beta	CG4178	2L	898500	901316
FBgn0003916	snRNA:U1:21D		2L	901491	901654
FBgn0286735	scaRNA:MeU1:95C-A24		2L	901976	902082
FBgn0266799	lncRNA:CR45261		2L	904029	904347
FBgn0264870	lncRNA:CR44061		2L	912981	913305
FBgn0046113	GluRIIC	CG4226	2L	914086	917805
FBgn0028481	Tmtc2	CG4341	2L	922793	958098
FBgn0266036	lncRNA:CR44801		2L	987807	991300
FBgn0031294	IA-2	CG4355	2L	1008378	1048053
FBgn0287617	asRNA:CR46486		2L	1019659	1028737
FBgn0031295	CG4375		2L	1026105	1026897
FBgn0031296	gNacalpha	CG4415	2L	1037246	1038685
FBgn0003310	S	CG4385	2L	1049674	1077815
FBgn0015905	ast	CG4426	2L	1077948	1080803
FBgn0031298	Atg4a	CG4428	2L	1080911	1085380
FBgn0031299	CG4629		2L	1083091	1102504
FBgn0261938	PolrMT	CG4644	2L	1103254	1108373
FBgn0031301	CG14339		2L	1108540	1112694
FBgn0031302	CG14340		2L	1112941	1114138
FBgn0016926	Pino	CG4710	2L	1114654	1128953
FBgn0031304	TBC1D23	CG4552	2L	1129316	1132411
FBgn0031305	Iris	CG4715	2L	1132332	1134098
FBgn0031306	Spar	CG4577	2L	1134693	1141156
FBgn0267281	lncRNA:CR45717		2L	1142869	1143216
FBgn0031307	MFS3	CG4726	2L	1143201	1147395
FBgn0283525	l(2)10685	CG4749	2L	1147822	1149449
FBgn0031309	Tfb4	CG5041	2L	1149445	1150677
FBgn0031310	Vps29	CG4764	2L	1150766	1151764
FBgn0261458	capt	CG5061	2L	1151678	1158262
FBgn0264267	asRNA:CR43767		2L	1158576	1159355
FBgn0031312	Tango14	CG4775	2L	1158661	1160220
FBgn0031313	CG5080		2L	1160290	1163886
FBgn0031314	IntS14	CG4785	2L	1164443	1166425
FBgn0031315	CG14341		2L	1166506	1167211
FBgn0024314	Plap	CG5105	2L	1167172	1170365
FBgn0051922	Snrnp20	CG31922	2L	1170181	1170789
FBgn0031317	Charon	CG5118	2L	1170753	1172805
FBgn0031318	CG4887		2L	1173009	1177589
FBgn0031319	CG4896		2L	1177690	1182454
FBgn0031320	CG5126		2L	1182297	1184020
FBgn0031321	Tgt	CG4947	2L	1184065	1185698
FBgn0031322	CG5001		2L	1185757	1196807
FBgn0031323	CG5139		2L	1198465	1199266
FBgn0263080	CG43348	CG43180	2L	1199412	1199924
FBgn0263081	CG43349		2L	1200205	1200663
FBgn0040723	CG5011		2L	1200671	1201220
FBgn0031324	CG14342		2L	1204215	1205250
FBgn0266885	lncRNA:CR45346		2L	1214649	1215293
FBgn0262944	lncRNA:CR43263		2L	1216854	1217785
FBgn0259229	CG42329	CG5156	2L	1219293	1229802
FBgn0031327	CG5397		2L	1240036	1243018
FBgn0041097	robo3	CG5423	2L	1256417	1296596
FBgn0011294	a5	CG5430	2L	1329161	1329993
FBgn0031331	CG5440		2L	1334128	1335514
FBgn0053923	CG33923		2L	1341365	1342095
FBgn0053922	CG33922		2L	1343443	1344171
FBgn0026141	Cdlc2	CG5450	2L	1344400	1345135
FBgn0266357	lncRNA:CR45005		2L	1345501	1345840
FBgn0266358	lncRNA:CR45006		2L	1345965	1346331
FBgn0031332	CG5556		2L	1351728	1352868
FBgn0031333	CG5561		2L	1352970	1354109
FBgn0051924	CG31924	CG5564	2L	1354101	1354919
FBgn0031335	CG5565		2L	1354911	1355924
FBgn0051659	CG31659	CG16933	2L	1358925	1359790
FBgn0053126	NLaz	CG16933	2L	1359837	1361821
FBgn0031337	CG14346		2L	1367996	1369050
FBgn0266203	lncRNA:CR44898		2L	1380083	1381326
FBgn0002543	robo2	CG5481	2L	1380086	1420453
FBgn0266202	asRNA:CR44897		2L	1381211	1382796
FBgn0263320	CG43401		2L	1428474	1429159
FBgn0263321	CG43402		2L	1442627	1443832
FBgn0051928	CG31928	CG10872	2L	1492295	1493859
FBgn0053128	CG33128	CG10872	2L	1494070	1495456
FBgn0051926	CG31926	CG10872	2L	1495460	1497071
FBgn0051661	CG31661	CG10872	2L	1497243	1498583
FBgn0031343	CG18131		2L	1498455	1500608
FBgn0031344	CG7420		2L	1500784	1502904
FBgn0264873	asRNA:CR44064		2L	1500830	1504204
FBgn0031345	CG18132		2L	1516795	1517478
FBgn0001174	halo	CG7428	2L	1517533	1518148
FBgn0026398	Or22a	CG12193	2L	1520491	1522156
FBgn0026397	Or22b	CG4231	2L	1522697	1524257
FBgn0261509	haf	CG14351	2L	1555129	1609389
FBgn0031347	nis	CG10869	2L	1584866	1587155
FBgn0051935	Rab3GAP1	CG7373	2L	1594822	1611157
FBgn0031351	CG14352		2L	1611410	1612576
FBgn0021906	RFeSP	CG7361	2L	1612429	1614160
FBgn0265814	lncRNA:CR44603		2L	1618637	1626021
FBgn0267259	lncRNA:CR45695		2L	1646932	1647163
FBgn0086758	chinmo	CG10871	2L	1651258	1704682
FBgn0011570	cpb	CG17158	2L	1704902	1706962
FBgn0031356	CG17660		2L	1707132	1710421
FBgn0266311	asRNA:CR44976		2L	1708452	1709244
FBgn0031357	mRpL48	CG17642	2L	1710462	1711465
FBgn0086698	frtz	CG17657	2L	1711302	1715851
FBgn0031359	Rim2	CG18317	2L	1716244	1724388
FBgn0000579	Eno	CG17654	2L	1724768	1729636
FBgn0260648	Rrp40	CG31938	2L	1728732	1729762
FBgn0031360	CG31937	CG17711	2L	1729887	1731070
FBgn0031361	CG17652		2L	1731033	1732356
FBgn0264494	CG17646	CG17647	2L	1732524	1750612
FBgn0027597	CG17712		2L	1750687	1752122
FBgn0031364	CG17648		2L	1752308	1752848
FBgn0041249	Gr22f	CG31932	2L	1755253	1756451
FBgn0031365	CG17650		2L	1758286	1759093
FBgn0045497	Gr22e	CG31936	2L	1784062	1785286
FBgn0045498	Gr22d	CG31930	2L	1789141	1790361
FBgn0265138	Gr22c	CG31929	2L	1790617	1791823
FBgn0045500	Gr22b	CG31931	2L	1792057	1793268
FBgn0045501	Gr22a	CG31662	2L	1793668	1794917
FBgn0051933	CG31933	CG15622	2L	1821256	1823331
FBgn0051664	CG31664	CG15622	2L	1824172	1826500
FBgn0031367	c-cup	CG15623	2L	1831627	1832565
FBgn0262275	mir-2280		2L	1831685	1831799
FBgn0051665	wry	CG15621	2L	1836538	1858550
FBgn0264882	lncRNA:CR44073		2L	1839494	1839896
FBgn0264883	lncRNA:CR44074		2L	1840070	1840808
FBgn0051663	CG31663	CG15360	2L	1858609	1881480
FBgn0031372	CG7295		2L	1869803	1871032
FBgn0264884	lncRNA:CR44075		2L	1872693	1873511
FBgn0031373	CG15358		2L	1882008	1883214
FBgn0031374	Wdr62	CG7337	2L	1884622	1944289
FBgn0011859	tRNA:Gly-GCC-1-1		2L	1938089	1938159
FBgn0040719	CG15357		2L	1945150	1945709
FBgn0053673	CG33673		2L	1945815	1946728
FBgn0031375	erm	CG7312	2L	1950239	1970362
FBgn0051942	tRNA:Arg-TCT-2-1		2L	1965426	1965498
FBgn0267972	Der-1	CG10908	2L	1973957	1975413
FBgn0031377	CG15356		2L	1975463	1980755
FBgn0031378	CG15362		2L	1981176	1982099
FBgn0031379	CG7289		2L	1982217	1984514
FBgn0001125	Got2	CG4233	2L	1984512	1987758
FBgn0031381	Npc2a	CG7291	2L	1988290	1988940
FBgn0262148	lncRNA:CR42874		2L	1989450	1990894
FBgn0043539	Obp22a	CG31941	2L	1991381	1992160
FBgn0053543	elff	CG15354	2L	1997102	2006313
FBgn0263441	asRNA:CR43464		2L	2000058	2003935
FBgn0040718	CG15353		2L	2006763	2007193
FBgn0267276	asRNA:CR45712		2L	2006867	2007688
FBgn0040717	Nplp4	CG15361	2L	2008414	2009072
FBgn0051943	tRNA:Gln-CTG-2-2		2L	2009155	2009226
FBgn0051944	tRNA:Gln-CTG-2-3		2L	2009538	2009609
FBgn0031384	CG4238		2L	2009859	2030788
FBgn0051939	tRNA:Gln-CTG-2-4		2L	2010646	2010717
FBgn0051940	tRNA:Gln-CTG-3-1		2L	2010869	2010940
FBgn0051669	tRNA:Gln-CTG-2-5		2L	2013179	2013250
FBgn0286732	snoRNA:CD72		2L	2014449	2014575
FBgn0011860	tRNA:Gly-GCC-1-2		2L	2031692	2031762
FBgn0259192	CG42296	CG15378	2L	2032519	2036041
FBgn0259230	lectin-22C	CG15378	2L	2036409	2037265
FBgn0003557	Su(dx)	CG4244	2L	2037714	2044372
FBgn0266836	lncRNA:CR45298		2L	2044517	2045381
FBgn0028952	Kebab	CG4248	2L	2045494	2048054
FBgn0026396	Or22c	CG15377	2L	2054589	2057967
FBgn0053516	dpr3	CG15380	2L	2058790	2109878
FBgn0031388	Paf1L	CG12674	2L	2079919	2081286
FBgn0266043	lncRNA:CR44808		2L	2082031	2082347
FBgn0264864	lncRNA:CR44055		2L	2083362	2084419
FBgn0031389	CG4259		2L	2127309	2129237
FBgn0004507	Glyp	CG7254	2L	2130813	2137296
FBgn0031390	tho2	CG31671	2L	2137350	2145187
FBgn0031391	CG11723		2L	2145297	2147275
FBgn0027509	Tbcd	CG7261	2L	2147518	2151664
FBgn0031392	AIF	CG7263	2L	2151754	2155389
FBgn0031393	CG15382		2L	2155753	2156790
FBgn0000097	aop	CG3166	2L	2156484	2178754
FBgn0265017	lncRNA:CR43751	CG15383	2L	2181962	2185495
FBgn0264875	lncRNA:CR44066		2L	2186975	2187970
FBgn0051946	tRNA:Arg-TCT-3-1		2L	2187007	2187079
FBgn0266828	lncRNA:CR45290		2L	2188620	2189405
FBgn0031395	CG10874		2L	2189914	2192386
FBgn0264874	asRNA:CR44065		2L	2190191	2191272
FBgn0085201	COX7AL2	CG34172	2L	2192525	2197912
FBgn0051668	CG31668	CG10879	2L	2203721	2206166
FBgn0053124	CG33124	CG10879	2L	2206525	2209102
FBgn0031397	CG15385		2L	2209574	2212571
FBgn0010288	Uch	CG4265	2L	2212738	2214211
FBgn0085203	CG34174		2L	2214266	2215167
FBgn0031398	daed	CG10880	2L	2214972	2216311
FBgn0040715	CG15386		2L	2216503	2217246
FBgn0259717	CG42371		2L	2216503	2217246
FBgn0031399	mio	CG15384	2L	2217290	2220625
FBgn0031401	papi	CG7082	2L	2220748	2225544
FBgn0031403	CG15387		2L	2225545	2226294
FBgn0267378	sau	CG7085	2L	2226342	2231099
FBgn0264945	asRNA:CR44114		2L	2226753	2227604
FBgn0262126	Sec24CD	CG10882	2L	2231106	2236844
FBgn0264946	asRNA:CR44115		2L	2236347	2237022
FBgn0051679	Tengl3	CG17006	2L	2237076	2238251
FBgn0052463	Tengl2	CG17006	2L	2238304	2239384
FBgn0051682	Tengl1	CG17006	2L	2239414	2240593
FBgn0264979	CG4267	CG31686	2L	2242378	2245274
FBgn0262106	lncRNA:CR42859		2L	2245230	2247383
FBgn0011832	Ser12	CG17240	2L	2250431	2251275
FBgn0042186	CG17239		2L	2251510	2252341
FBgn0042187	CG17234		2L	2253045	2253852
FBgn0031406	Send1	CG17012	2L	2254176	2255050
FBgn0266022	lncRNA:CR44787		2L	2257635	2258000
FBgn0266023	lncRNA:CR44788		2L	2259396	2259730
FBgn0031407	CG4270		2L	2263442	2264241
FBgn0054049	CG34049		2L	2264231	2265321
FBgn0250841	CG17242		2L	2268106	2269140
FBgn0264084	lncRNA:CR43753		2L	2271319	2279714
FBgn0264085	lncRNA:CR43754		2L	2283705	2285003
FBgn0031409	CG4271		2L	2285163	2285926
FBgn0051681	CG31681		2L	2285925	2286873
FBgn0261523	CG42658		2L	2287025	2287907
FBgn0031410	CG17237		2L	2288503	2289416
FBgn0028570	robl22E	CG10838	2L	2290224	2290738
FBgn0051949	CG31949		2L	2300103	2300888
FBgn0031412	CG16995		2L	2307948	2308872
FBgn0031413	CG9967		2L	2308761	2357356
FBgn0031414	eys	CG15388	2L	2311680	2358944
FBgn0014010	Rab5	CG3664	2L	2359142	2365273
FBgn0261647	Axud1	CG4272	2L	2365345	2370137
FBgn0031417	CG3597		2L	2370152	2371524
FBgn0031418	CG3609		2L	2372455	2374627
FBgn0031419	Mterf4	CG15390	2L	2374713	2375697
FBgn0266317	asRNA:CR44982		2L	2374955	2375582
FBgn0031420	Atxn7	CG9866	2L	2375841	2380506
FBgn0264672	Eogt	CG9867	2L	2381097	2383073
FBgn0031422	PIG-Wa	CG9870	2L	2383202	2384747
FBgn0031423	CG3557		2L	2384761	2385792
FBgn0264081	CG43750		2L	2389578	2390689
FBgn0287218	CG46448		2L	2391660	2392105
FBgn0031424	VGlut1	CG9887	2L	2400295	2410662
FBgn0031426	CG18641	CG11535	2L	2410624	2415322
FBgn0051948	CG31948	CG9966	2L	2415359	2416720
FBgn0085477	CG34448	CG31684	2L	2416792	2417965
FBgn0085476	CG34447	CG31684	2L	2418422	2420013
FBgn0031428	CG9886		2L	2420830	2424647
FBgn0264988	CG44139		2L	2424797	2425041
FBgn0266217	lncRNA:CR44912		2L	2427050	2427881
FBgn0000490	dpp	CG9885	2L	2428372	2459823
FBgn0012017	tRNA:Tyr-GTA-1-2		2L	2459924	2460044
FBgn0012016	tRNA:Tyr-GTA-1-3		2L	2462593	2462686
FBgn0266824	lncRNA:CR45286		2L	2471644	2472978
FBgn0264978	Slh	CG15393	2L	2488197	2492671
FBgn0011818	oaf	CG9884	2L	2492955	2498846
FBgn0265818	lncRNA:CR44607		2L	2507312	2507596
FBgn0031430	CG3528		2L	2517102	2518037
FBgn0267738	asRNA:CR46069		2L	2517205	2518845
FBgn0264943	lncRNA:CR44112		2L	2532999	2533569
FBgn0031431	CG3515		2L	2551145	2552825
FBgn0264944	lncRNA:CR44113		2L	2555750	2556089
FBgn0031432	Cyp309a1	CG9964	2L	2562483	2564830
FBgn0041337	Cyp309a2	CG18559	2L	2564886	2573037
FBgn0026778	Rad1	CG3240	2L	2573436	2575052
FBgn0085343	Sws1	CG34314	2L	2573436	2575052
FBgn0031434	insv	CG3227	2L	2575280	2576997
FBgn0031435	Elba2	CG9883	2L	2577687	2579179
FBgn0031436	ND-B17.2	CG3214	2L	2579201	2580172
FBgn0031437	Arpc5	CG9881	2L	2580292	2581423
FBgn0026479	Drp1	CG3210	2L	2581281	2585430
FBgn0250835	CG15394		2L	2591869	2592773
FBgn0266025	lncRNA:CR44790		2L	2598608	2599860
FBgn0266024	lncRNA:CR44789		2L	2601033	2601721
FBgn0031440	CG15395		2L	2609994	2611283
FBgn0263322	CG43403		2L	2620187	2620782
FBgn0267269	lncRNA:TS11		2L	2625456	2627986
FBgn0284414	lncRNA:CR46328		2L	2637669	2638540
FBgn0284413	lncRNA:TS4		2L	2639185	2640081
FBgn0264434	lncRNA:CR43852		2L	2646030	2646281
FBgn0031441	CG9962		2L	2646577	2647720
FBgn0264433	CG43851		2L	2647886	2648361
FBgn0053125	CG33125		2L	2648360	2652414
FBgn0031442	Prosbeta4R1	CG17301	2L	2653046	2653926
FBgn0026395	Or23a	CG9880	2L	2654049	2655462
FBgn0031443	Prosbeta4R2	CG17302	2L	2655394	2657102
FBgn0031444	Trf4	CG9879	2L	2665062	2666265
FBgn0286882	CR46404		2L	2669228	2669622
FBgn0041248	Gr23a	CG15396	2L	2669823	2672186
FBgn0051690	Tmtc1	CG15397	2L	2677734	2719431
FBgn0031446	Trf5	CG15398	2L	2695330	2696437
FBgn0031449	CG31689	CG9892	2L	2725674	2739830
FBgn0263564	mir-4914		2L	2737568	2737661
FBgn0031450	Hrs	CG2903	2L	2739986	2743377
FBgn0031451	Pgk2	CG9961	2L	2743375	2744934
FBgn0031452	Cwc25	CG2843	2L	2745098	2746944
FBgn0250906	Pgk	CG3127	2L	2746880	2753068
FBgn0031453	Bacc	CG9894	2L	2752445	2757975
FBgn0265997	lncRNA:CR44772		2L	2757940	2758176
FBgn0031454	HemK2	CG32951	2L	2758427	2759677
FBgn0031455	Snapin	CG32951	2L	2758427	2759677
FBgn0031456	Tnpo-SR	CG2848	2L	2759924	2763889
FBgn0031457	Snx21	CG3077	2L	2763416	2765665
FBgn0031458	aph-1	CG2855	2L	2766233	2767281
FBgn0026324	Taf10b	CG3069	2L	2767286	2767845
FBgn0028398	Taf10	CG2859	2L	2767890	2768612
FBgn0019830	colt	CG3057	2L	2768590	2770069
FBgn0031459	HINT1	CG2862	2L	2770135	2770904
FBgn0031460	CG15399		2L	2770884	2771776
FBgn0004242	Syt1	CG3139	2L	2772327	2799979
FBgn0264369	lncRNA:CR43821		2L	2797832	2798321
FBgn0031461	daw	CG16987	2L	2805261	2812376
FBgn0031462	Pykl2	CG2964	2L	2812437	2814429
FBgn0031463	G6p	CG15400	2L	2814336	2815760
FBgn0283531	Duox	CG3131	2L	2815970	2830248
FBgn0031465	CG3123		2L	2823546	2825506
FBgn0031466	CG3119		2L	2834887	2837833
FBgn0031467	Cpr23B	CG2973	2L	2838411	2839547
FBgn0266881	asRNA:CR45342		2L	2840025	2840316
FBgn0031468	CG2975		2L	2840124	2842638
FBgn0031469	CG18558		2L	2842589	2844513
FBgn0031470	CG18557		2L	2844601	2845734
FBgn0031471	CG3117		2L	2845926	2847212
FBgn0031472	CG2983		2L	2847632	2848997
FBgn0031473	CG3104		2L	2848989	2855778
FBgn0015521	RpS21	CG2986	2L	2856070	2857029
FBgn0031474	CG2991		2L	2857164	2868548
FBgn0051694	Ifrd1	CG3098	2L	2868627	2874489
FBgn0031476	CG8813		2L	2869652	2870649
FBgn0031478	Acbp7	CG8814	2L	2874890	2877168
FBgn0031479	Prx6a	CG3083	2L	2877091	2878232
FBgn0051950	Sbat	CG31950	2L	2878344	2879001
FBgn0028970	RabGGTb	CG18627	2L	2879112	2880708
FBgn0024947	NTPase	CG3059	2L	2880704	2885850
FBgn0041111	lilli	CG8817	2L	2885929	2954406
FBgn0010263	Rbp9	CG15402	2L	2954762	2968434
FBgn0024920	Ts	CG3181	2L	2968293	2969638
FBgn0004584	Rrp1	CG3178	2L	2969773	2972508
FBgn0260639	gammaTub23C	CG3157	2L	2972891	2974858
FBgn0031483	CG9641		2L	2974859	2976862
FBgn0031484	CG3165		2L	2977122	2978500
FBgn0031485	CG9643		2L	2978411	2979288
FBgn0250786	Chd1	CG3733	2L	2979562	2987723
FBgn0025109	Bem46	CG18642	2L	2988116	2990075
FBgn0002989	okr	CG3736	2L	2989594	2992759
FBgn0025681	CG3558		2L	2992870	2998726
FBgn0031488	Ccdc85	CG17265	2L	2999286	3016069
FBgn0031489	CG17224		2L	3016441	3018308
FBgn0031490	CG17264		2L	3018508	3021506
FBgn0031491	alpha4GT1	CG17223	2L	3021309	3023141
FBgn0031492	Prp40	CG3542	2L	3023226	3026439
FBgn0031493	Sf3b2	CG3605	2L	3026252	3029168
FBgn0031494	CG17219		2L	3029253	3030616
FBgn0264996	asRNA:CR44147		2L	3030412	3030903
FBgn0031495	GABPI	CG17257	2L	3030539	3032300
FBgn0031496	CG17258		2L	3032210	3035348
FBgn0031497	SerRS	CG17259	2L	3035493	3037403
FBgn0031498	CG17260		2L	3037230	3038793
FBgn0243513	cnir	CG17262	2L	3038826	3039812
FBgn0031500	Rtn4ip1	CG17221	2L	3039976	3041890
FBgn0031501	CG17261		2L	3042551	3043593
FBgn0042627	FASN2	CG3524	2L	3043947	3056143
FBgn0263847	snRNA:LU		2L	3046765	3046880
FBgn0003934	snRNA:U5:23D		2L	3048701	3048831
FBgn0283427	FASN1	CG3523	2L	3056598	3068177
FBgn0015600	toc	CG9660	2L	3068345	3144786
FBgn0005779	PpD6	CG8822	2L	3109672	3110998
FBgn0031504	CG15403		2L	3128635	3129489
