gene_id	chr	start	end	strand	length
gene:Zm00001eb000520	1	2147897	2161903	-	14007
gene:Zm00001eb000530	1	2168336	2168653	-	318
gene:Zm00001eb000540	1	2224430	2232174	-	7745
gene:Zm00001eb000550	1	2275575	2280181	-	4607
gene:Zm00001eb000560	1	2281696	2286130	-	4435
gene:Zm00001eb000570	1	2288852	2293806	+	4955
gene:Zm00001eb000580	1	2376907	2378815	-	1909
gene:Zm00001eb000590	1	2514265	2522242	+	7978
gene:Zm00001eb000600	1	2553424	2556496	-	3073
gene:Zm00001eb000610	1	2555438	2555822	+	385
gene:Zm00001eb000620	1	2620295	2626950	-	6656
gene:Zm00001eb000630	1	2641853	2644732	-	2880
gene:Zm00001eb000640	1	2737442	2740118	+	2677
gene:Zm00001eb000650	1	2765072	2771704	+	6633
gene:Zm00001eb000660	1	2772158	2773573	-	1416
gene:Zm00001eb000670	1	2800774	2803236	+	2463
gene:Zm00001eb000680	1	2803474	2804769	-	1296
gene:Zm00001eb000690	1	2810082	2817677	+	7596
gene:Zm00001eb000700	1	2817998	2820996	-	2999
gene:Zm00001eb000710	1	2860721	2869355	+	8635
gene:Zm00001eb000720	1	2869576	2874482	-	4907
gene:Zm00001eb000730	1	2873681	2874136	+	456
gene:Zm00001eb000740	1	2874505	2883698	+	9194
gene:Zm00001eb000750	1	2875398	2880118	-	4721
gene:Zm00001eb000760	1	2885880	2888772	+	2893
gene:Zm00001eb000770	1	2925178	2926144	+	967
gene:Zm00001eb000780	1	2950594	2963259	+	12666
gene:Zm00001eb000790	1	2965331	2968509	+	3179
gene:Zm00001eb000800	1	2967642	2988230	-	20589
gene:Zm00001eb000810	1	2991876	3014032	+	22157
gene:Zm00001eb000820	1	3022946	3028004	+	5059
gene:Zm00001eb000830	1	3028126	3030012	+	1887
gene:Zm00001eb000840	1	3042596	3044181	+	1586
gene:Zm00001eb000850	1	3086161	3086776	-	616
gene:Zm00001eb000860	1	3095249	3113958	+	18710
gene:Zm00001eb000870	1	3115493	3126872	+	11380
gene:Zm00001eb000880	1	3163359	3167829	-	4471
gene:Zm00001eb000890	1	3215293	3221599	+	6307
gene:Zm00001eb000900	1	3221607	3222938	+	1332
gene:Zm00001eb000910	1	3223370	3224844	-	1475
gene:Zm00001eb000920	1	3263012	3279756	+	16745
gene:Zm00001eb000930	1	3280308	3282259	-	1952
gene:Zm00001eb000940	1	3280357	3281253	+	897
gene:Zm00001eb000950	1	3283381	3285618	-	2238
gene:Zm00001eb000960	1	3359130	3361295	+	2166
gene:Zm00001eb000970	1	3362236	3365818	+	3583
gene:Zm00001eb000980	1	3368388	3369418	-	1031
gene:Zm00001eb000990	1	3370081	3371465	+	1385
gene:Zm00001eb001000	1	3371279	3376586	-	5308
gene:Zm00001eb001010	1	3432419	3436408	+	3990
gene:Zm00001eb001020	1	3434663	3437323	-	2661
gene:Zm00001eb001030	1	3442010	3443345	-	1336
gene:Zm00001eb001040	1	3473728	3478290	+	4563
gene:Zm00001eb001050	1	3480374	3483331	+	2958
gene:Zm00001eb001060	1	3486091	3488116	-	2026
gene:Zm00001eb001070	1	3535438	3540435	+	4998
gene:Zm00001eb001080	1	3564435	3566097	+	1663
gene:Zm00001eb001090	1	3566399	3567033	+	635
gene:Zm00001eb001100	1	3635348	3636570	+	1223
gene:Zm00001eb001110	1	3642003	3652191	-	10189
gene:Zm00001eb001120	1	3732742	3735652	+	2911
gene:Zm00001eb001130	1	3762739	3766217	+	3479
gene:Zm00001eb001140	1	3766150	3769278	-	3129
gene:Zm00001eb001150	1	3787682	3792482	+	4801
gene:Zm00001eb001160	1	3789833	3792468	-	2636
gene:Zm00001eb001170	1	3796239	3798782	-	2544
gene:Zm00001eb001180	1	3797680	3801321	+	3642
gene:Zm00001eb001190	1	3802584	3803735	+	1152
gene:Zm00001eb001200	1	3833378	3837494	+	4117
gene:Zm00001eb001210	1	3837589	3838704	+	1116
gene:Zm00001eb001220	1	3840616	3845721	+	5106
gene:Zm00001eb001230	1	3848537	3849489	-	953
gene:Zm00001eb001240	1	3903971	3908178	+	4208
gene:Zm00001eb001250	1	3911915	3912600	+	686
gene:Zm00001eb001260	1	3951421	3956063	+	4643
gene:Zm00001eb001270	1	3956047	3959705	-	3659
gene:Zm00001eb001280	1	3962559	3963285	+	727
gene:Zm00001eb001290	1	3965228	3975390	-	10163
gene:Zm00001eb001300	1	3977472	3978837	-	1366
gene:Zm00001eb001310	1	3979913	3981991	-	2079
gene:Zm00001eb001320	1	3983110	3983679	-	570
gene:Zm00001eb001330	1	3984280	3984822	-	543
gene:Zm00001eb001340	1	4078810	4083607	+	4798
gene:Zm00001eb001350	1	4083900	4086535	+	2636
gene:Zm00001eb001360	1	4087436	4089632	-	2197
gene:Zm00001eb001370	1	4090633	4095211	-	4579
gene:Zm00001eb001380	1	4094404	4095288	+	885
gene:Zm00001eb001390	1	4101879	4104744	-	2866
gene:Zm00001eb001400	1	4111310	4118908	-	7599
gene:Zm00001eb001410	1	4151847	4152236	-	390
gene:Zm00001eb001420	1	4169766	4173139	-	3374
gene:Zm00001eb001430	1	4173806	4249156	+	75351
gene:Zm00001eb001440	1	4270812	4273294	+	2483
gene:Zm00001eb001450	1	4290346	4291308	-	963
gene:Zm00001eb001460	1	4293004	4304802	+	11799
gene:Zm00001eb001470	1	4355214	4357396	+	2183
gene:Zm00001eb001480	1	4358163	4359539	-	1377
gene:Zm00001eb001490	1	4370484	4378831	-	8348
gene:Zm00001eb001500	1	4370689	4373976	+	3288
gene:Zm00001eb001510	1	4447853	4452527	-	4675
gene:Zm00001eb001520	1	4480634	4487953	-	7320
gene:Zm00001eb001530	1	4489656	4491331	-	1676
gene:Zm00001eb001540	1	4557407	4557968	-	562
gene:Zm00001eb001550	1	4613829	4616572	+	2744
gene:Zm00001eb001560	1	4672210	4675614	-	3405
gene:Zm00001eb001570	1	4678241	4689963	-	11723
gene:Zm00001eb001580	1	4697629	4698378	+	750
gene:Zm00001eb001590	1	4786101	4791613	+	5513
gene:Zm00001eb001600	1	4792493	4796120	-	3628
gene:Zm00001eb001610	1	4832164	4835558	+	3395
gene:Zm00001eb001620	1	4835163	4835639	-	477
gene:Zm00001eb001630	1	4844238	4848250	+	4013
gene:Zm00001eb001640	1	4854128	4856665	-	2538
gene:Zm00001eb001650	1	4860147	4868040	-	7894
gene:Zm00001eb001660	1	4903163	4904730	+	1568
gene:Zm00001eb001670	1	4932248	4948340	-	16093
gene:Zm00001eb001680	1	5048745	5051733	+	2989
gene:Zm00001eb001690	1	5055289	5057805	-	2517
gene:Zm00001eb001700	1	5060152	5061950	+	1799
gene:Zm00001eb001710	1	5064533	5070054	+	5522
gene:Zm00001eb001720	1	5076499	5081101	+	4603
gene:Zm00001eb001730	1	5076825	5077210	-	386
gene:Zm00001eb001740	1	5095230	5097193	-	1964
gene:Zm00001eb001750	1	5097215	5097871	-	657
gene:Zm00001eb001760	1	5112320	5115233	+	2914
gene:Zm00001eb001770	1	5156079	5161908	+	5830
gene:Zm00001eb001780	1	5281432	5285006	+	3575
gene:Zm00001eb001790	1	5285349	5285654	-	306
gene:Zm00001eb001800	1	5285662	5286601	-	940
gene:Zm00001eb001810	1	5365242	5367385	+	2144
gene:Zm00001eb001820	1	5376196	5377536	+	1341
gene:Zm00001eb001830	1	5384580	5388305	+	3726
gene:Zm00001eb001840	1	5386927	5389230	-	2304
gene:Zm00001eb001850	1	5417359	5420144	-	2786
gene:Zm00001eb001860	1	5423774	5431320	+	7547
gene:Zm00001eb001870	1	5434423	5440930	+	6508
gene:Zm00001eb001880	1	5444640	5448668	+	4029
gene:Zm00001eb001890	1	5449946	5454011	-	4066
gene:Zm00001eb001900	1	5471781	5480336	+	8556
gene:Zm00001eb001910	1	5479359	5493877	-	14519
gene:Zm00001eb001920	1	5542959	5544109	-	1151
gene:Zm00001eb001930	1	5556476	5557793	+	1318
gene:Zm00001eb001940	1	5563658	5568308	-	4651
gene:Zm00001eb001950	1	5615012	5616448	-	1437
gene:Zm00001eb001960	1	5651777	5652845	+	1069
gene:Zm00001eb001970	1	5651845	5652735	-	891
gene:Zm00001eb001980	1	5655021	5657414	-	2394
gene:Zm00001eb001990	1	5659149	5666171	-	7023
gene:Zm00001eb002000	1	5743584	5766324	+	22741
gene:Zm00001eb002010	1	5769996	5774406	+	4411
gene:Zm00001eb002020	1	5772493	5778595	-	6103
gene:Zm00001eb002030	1	5836552	5841719	+	5168
gene:Zm00001eb002040	1	5847054	5859789	-	12736
gene:Zm00001eb002050	1	5865243	5866479	+	1237
gene:Zm00001eb002060	1	5897030	5900917	+	3888
gene:Zm00001eb002070	1	5974073	5976558	+	2486
gene:Zm00001eb002080	1	5975458	5976368	-	911
gene:Zm00001eb002090	1	5987621	5991591	+	3971
gene:Zm00001eb002100	1	6021571	6114922	-	93352
gene:Zm00001eb002110	1	6048049	6049923	+	1875
gene:Zm00001eb002120	1	6050242	6050678	+	437
gene:Zm00001eb002130	1	6050682	6051054	+	373
gene:Zm00001eb002140	1	6130065	6130508	+	444
gene:Zm00001eb002150	1	6158278	6162050	+	3773
gene:Zm00001eb002160	1	6190749	6199970	-	9222
gene:Zm00001eb002170	1	6200061	6204667	-	4607
gene:Zm00001eb002180	1	6223600	6228409	+	4810
gene:Zm00001eb002190	1	6227615	6230600	-	2986
gene:Zm00001eb002200	1	6243871	6247902	-	4032
gene:Zm00001eb002210	1	6245655	6246568	+	914
gene:Zm00001eb002220	1	6249500	6254299	-	4800
gene:Zm00001eb002230	1	6253068	6253862	+	795
gene:Zm00001eb002240	1	6260934	6263719	+	2786
gene:Zm00001eb002250	1	6263313	6267523	-	4211
gene:Zm00001eb002260	1	6272463	6282114	-	9652
gene:Zm00001eb002270	1	6360197	6362989	+	2793
gene:Zm00001eb002280	1	6365240	6365762	+	523
gene:Zm00001eb002290	1	6372483	6375552	-	3070
gene:Zm00001eb002300	1	6380105	6384420	-	4316
gene:Zm00001eb002310	1	6477433	6482618	-	5186
gene:Zm00001eb002320	1	6492735	6496230	-	3496
gene:Zm00001eb002330	1	6509299	6511495	+	2197
gene:Zm00001eb002340	1	6511535	6513459	+	1925
gene:Zm00001eb002350	1	6515053	6516195	-	1143
gene:Zm00001eb002360	1	6519332	6522242	-	2911
gene:Zm00001eb002370	1	6523278	6526089	-	2812
gene:Zm00001eb002380	1	6724575	6726661	+	2087
gene:Zm00001eb002390	1	6750999	6751362	+	364
gene:Zm00001eb002400	1	6751111	6751542	-	432
gene:Zm00001eb002410	1	6774197	6776053	-	1857
gene:Zm00001eb002420	1	6778851	6782130	+	3280
gene:Zm00001eb002430	1	6782672	6793725	-	11054
gene:Zm00001eb002440	1	6860587	6865501	-	4915
gene:Zm00001eb002450	1	6868157	6871764	-	3608
gene:Zm00001eb002460	1	6981387	6987213	+	5827
gene:Zm00001eb002470	1	7017011	7021170	+	4160
gene:Zm00001eb002480	1	7025419	7027826	+	2408
gene:Zm00001eb002490	1	7027155	7033202	-	6048
gene:Zm00001eb002500	1	7031258	7031656	+	399
gene:Zm00001eb002510	1	7097393	7099916	-	2524
gene:Zm00001eb002520	1	7101389	7105705	-	4317
gene:Zm00001eb002530	1	7130513	7136524	-	6012
gene:Zm00001eb002540	1	7181045	7201561	+	20517
gene:Zm00001eb002550	1	7235106	7239558	+	4453
gene:Zm00001eb002560	1	7240404	7243288	+	2885
gene:Zm00001eb002570	1	7282397	7288752	+	6356
gene:Zm00001eb002580	1	7298847	7301595	+	2749
gene:Zm00001eb002590	1	7298972	7300989	-	2018
gene:Zm00001eb002600	1	7329669	7331727	+	2059
gene:Zm00001eb002610	1	7337514	7342201	+	4688
gene:Zm00001eb002620	1	7344153	7348877	+	4725
gene:Zm00001eb002630	1	7347581	7347945	-	365
gene:Zm00001eb002640	1	7399951	7402416	-	2466
gene:Zm00001eb002650	1	7430966	7432307	-	1342
gene:Zm00001eb002660	1	7432853	7434882	-	2030
gene:Zm00001eb002670	1	7491495	7497459	-	5965
gene:Zm00001eb002680	1	7501227	7506747	+	5521
gene:Zm00001eb002690	1	7506984	7509465	+	2482
gene:Zm00001eb002700	1	7509171	7511704	-	2534
gene:Zm00001eb002710	1	7509603	7511333	+	1731
gene:Zm00001eb002730	1	7540589	7542312	+	1724
gene:Zm00001eb002720	1	7540589	7545110	-	4522
gene:Zm00001eb002740	1	7638621	7653175	-	14555
gene:Zm00001eb002750	1	7662616	7663179	-	564
gene:Zm00001eb002760	1	7666035	7668601	-	2567
gene:Zm00001eb002770	1	7717416	7718442	+	1027
gene:Zm00001eb002780	1	7779715	7781456	-	1742
gene:Zm00001eb002790	1	7813648	7815428	-	1781
gene:Zm00001eb002800	1	7817539	7818734	-	1196
gene:Zm00001eb002810	1	7820676	7822238	-	1563
gene:Zm00001eb002820	1	7915951	7926608	-	10658
gene:Zm00001eb002830	1	7953030	7955203	-	2174
gene:Zm00001eb002840	1	7980547	7983309	-	2763
gene:Zm00001eb002850	1	7981349	7983158	+	1810
gene:Zm00001eb002860	1	7988607	7990762	-	2156
gene:Zm00001eb002870	1	7990945	7991778	+	834
gene:Zm00001eb002880	1	7995660	8000444	-	4785
gene:Zm00001eb002890	1	8030978	8031633	+	656
gene:Zm00001eb002900	1	8031915	8033230	+	1316
gene:Zm00001eb002910	1	8044269	8046992	-	2724
gene:Zm00001eb002920	1	8050050	8050956	+	907
gene:Zm00001eb002930	1	8050717	8053834	-	3118
gene:Zm00001eb002940	1	8055025	8058183	-	3159
gene:Zm00001eb002950	1	8064330	8065482	-	1153
gene:Zm00001eb002960	1	8087643	8099716	-	12074
gene:Zm00001eb002970	1	8167463	8170474	+	3012
gene:Zm00001eb002980	1	8170576	8171343	+	768
gene:Zm00001eb002990	1	8180977	8183283	+	2307
gene:Zm00001eb003000	1	8216041	8220640	+	4600
gene:Zm00001eb003010	1	8222270	8226801	-	4532
gene:Zm00001eb003020	1	8237799	8243846	+	6048
gene:Zm00001eb003030	1	8244440	8248023	-	3584
gene:Zm00001eb003040	1	8268532	8271928	+	3397
gene:Zm00001eb003050	1	8271065	8271757	-	693
gene:Zm00001eb003060	1	8274777	8292607	-	17831
gene:Zm00001eb003070	1	8298052	8307439	+	9388
gene:Zm00001eb003080	1	8307488	8310461	+	2974
gene:Zm00001eb003090	1	8308330	8311889	-	3560
gene:Zm00001eb003100	1	8349982	8350543	-	562
gene:Zm00001eb003110	1	8421233	8424781	+	3549
gene:Zm00001eb003120	1	8431970	8434160	+	2191
gene:Zm00001eb003130	1	8488013	8492319	+	4307
gene:Zm00001eb003140	1	8507769	8509626	+	1858
gene:Zm00001eb003150	1	8508665	8513447	-	4783
gene:Zm00001eb003160	1	8514570	8518418	-	3849
gene:Zm00001eb003170	1	8532021	8535132	-	3112
gene:Zm00001eb003180	1	8597480	8600656	+	3177
gene:Zm00001eb003190	1	8602409	8607605	-	5197
gene:Zm00001eb003200	1	8611599	8612643	+	1045
gene:Zm00001eb003210	1	8613269	8616306	-	3038
gene:Zm00001eb003220	1	8636709	8638722	-	2014
gene:Zm00001eb003230	1	8636709	8642534	+	5826
gene:Zm00001eb003240	1	8709369	8711596	-	2228
gene:Zm00001eb003250	1	8711085	8711648	+	564
gene:Zm00001eb003260	1	8725814	8726169	+	356
gene:Zm00001eb003270	1	8727546	8729506	+	1961
gene:Zm00001eb003280	1	8729702	8730680	+	979
gene:Zm00001eb003290	1	8755763	8756164	-	402
gene:Zm00001eb003300	1	8782852	8790018	-	7167
gene:Zm00001eb003310	1	8851179	8853759	+	2581
gene:Zm00001eb003320	1	8854892	8857756	-	2865
gene:Zm00001eb003330	1	8914927	8917458	-	2532
gene:Zm00001eb003340	1	8917369	8919509	+	2141
gene:Zm00001eb003350	1	8944150	8949254	-	5105
gene:Zm00001eb003360	1	8950876	8952733	-	1858
gene:Zm00001eb003370	1	9014035	9014807	-	773
gene:Zm00001eb003380	1	9015572	9035686	+	20115
gene:Zm00001eb003390	1	9037408	9038136	-	729
gene:Zm00001eb003400	1	9043695	9047104	+	3410
gene:Zm00001eb003410	1	9047506	9048315	-	810
gene:Zm00001eb003420	1	9048595	9051295	+	2701
gene:Zm00001eb003430	1	9048674	9049117	-	444
gene:Zm00001eb003440	1	9055141	9058547	+	3407
gene:Zm00001eb003450	1	9096081	9099284	+	3204
gene:Zm00001eb003460	1	9164434	9168992	+	4559
gene:Zm00001eb003470	1	9192133	9193586	-	1454
gene:Zm00001eb003480	1	9277279	9280548	+	3270
gene:Zm00001eb003490	1	9282197	9289488	-	7292
gene:Zm00001eb003500	1	9288638	9289265	+	628
gene:Zm00001eb003510	1	9340660	9347192	-	6533
gene:Zm00001eb003520	1	9386888	9389574	+	2687
gene:Zm00001eb003530	1	9412266	9419447	-	7182
gene:Zm00001eb003540	1	9423681	9428283	+	4603
gene:Zm00001eb003550	1	9483547	9565925	+	82379
gene:Zm00001eb003560	1	9530493	9531449	-	957
gene:Zm00001eb003570	1	9556542	9557259	-	718
gene:Zm00001eb003580	1	9572976	9579961	-	6986
gene:Zm00001eb003590	1	9573057	9573905	+	849
gene:Zm00001eb003600	1	9666328	9668547	+	2220
gene:Zm00001eb003610	1	9681997	9684249	-	2253
gene:Zm00001eb003620	1	9711153	9713316	+	2164
gene:Zm00001eb003630	1	9716960	9719094	+	2135
gene:Zm00001eb003640	1	9718391	9718990	-	600
gene:Zm00001eb003650	1	9770696	9773193	+	2498
gene:Zm00001eb003660	1	9816090	9819649	-	3560
gene:Zm00001eb003670	1	9922122	9932704	+	10583
gene:Zm00001eb003680	1	9963642	9966321	-	2680
gene:Zm00001eb003690	1	9997481	10000557	-	3077
gene:Zm00001eb003700	1	10041312	10045344	+	4033
gene:Zm00001eb003710	1	10051001	10051518	-	518
gene:Zm00001eb003720	1	10053505	10054331	-	827
gene:Zm00001eb003730	1	10086538	10088673	-	2136
gene:Zm00001eb003740	1	10094872	10097736	+	2865
gene:Zm00001eb003750	1	10193332	10194462	+	1131
gene:Zm00001eb003760	1	10197232	10201491	+	4260
gene:Zm00001eb003770	1	10256029	10258696	+	2668
gene:Zm00001eb003780	1	10284767	10294120	+	9354
gene:Zm00001eb003790	1	10375265	10378655	-	3391
gene:Zm00001eb003800	1	10386391	10387248	+	858
gene:Zm00001eb003810	1	10427630	10507897	+	80268
gene:Zm00001eb003820	1	10511453	10512069	+	617
gene:Zm00001eb003830	1	10549979	10558095	-	8117
gene:Zm00001eb003840	1	10616565	10622381	-	5817
gene:Zm00001eb003850	1	10622440	10625585	+	3146
gene:Zm00001eb003860	1	10672311	10674525	-	2215
gene:Zm00001eb003870	1	10675981	10677669	-	1689
gene:Zm00001eb003880	1	10679227	10681893	-	2667
gene:Zm00001eb003890	1	10774523	10779546	+	5024
gene:Zm00001eb003900	1	10795528	10798665	-	3138
gene:Zm00001eb003910	1	10907217	10908561	+	1345
gene:Zm00001eb003920	1	10913208	10914536	-	1329
gene:Zm00001eb003930	1	10931611	10936195	-	4585
gene:Zm00001eb003940	1	10985266	10986096	-	831
gene:Zm00001eb003950	1	10985779	10986098	+	320
gene:Zm00001eb003960	1	10986206	10988709	-	2504
gene:Zm00001eb003970	1	11046929	11051293	+	4365
gene:Zm00001eb003980	1	11055704	11058858	-	3155
gene:Zm00001eb003990	1	11057633	11058958	+	1326
gene:Zm00001eb004000	1	11064107	11065807	-	1701
gene:Zm00001eb004010	1	11064605	11065458	+	854
gene:Zm00001eb004020	1	11075805	11076645	+	841
gene:Zm00001eb004030	1	11078505	11085350	-	6846
gene:Zm00001eb004040	1	11087925	11088497	-	573
gene:Zm00001eb004050	1	11194545	11198830	+	4286
gene:Zm00001eb004060	1	11199762	11200076	-	315
gene:Zm00001eb004070	1	11214658	11215211	+	554
gene:Zm00001eb004080	1	11247923	11253035	-	5113
gene:Zm00001eb004090	1	11254074	11260817	+	6744
gene:Zm00001eb004100	1	11304260	11306250	-	1991
gene:Zm00001eb004110	1	11304278	11306258	+	1981
gene:Zm00001eb004120	1	11327287	11334068	-	6782
gene:Zm00001eb004130	1	11387155	11387466	+	312
gene:Zm00001eb004140	1	11388592	11390370	-	1779
gene:Zm00001eb004150	1	11388644	11389116	-	473
gene:Zm00001eb004160	1	11479203	11485535	+	6333
gene:Zm00001eb004170	1	11486189	11491069	-	4881
gene:Zm00001eb004180	1	11559724	11562557	-	2834
gene:Zm00001eb004190	1	11566533	11573834	+	7302
gene:Zm00001eb004200	1	11611294	11613230	+	1937
gene:Zm00001eb004210	1	11615310	11620571	-	5262
gene:Zm00001eb004220	1	11664918	11673254	+	8337
gene:Zm00001eb004230	1	11678348	11693101	+	14754
gene:Zm00001eb004240	1	11776626	11783053	+	6428
gene:Zm00001eb004250	1	11847885	11880702	+	32818
gene:Zm00001eb004260	1	11938116	11939457	+	1342
gene:Zm00001eb004270	1	11968873	11970247	+	1375
gene:Zm00001eb004280	1	11969617	11970074	-	458
gene:Zm00001eb004290	1	11999339	12034402	+	35064
gene:Zm00001eb004300	1	12034631	12035191	-	561
gene:Zm00001eb004310	1	12036472	12042381	-	5910
gene:Zm00001eb004320	1	12066478	12071483	+	5006
gene:Zm00001eb004330	1	12068592	12069495	-	904
gene:Zm00001eb004340	1	12071464	12078408	-	6945
gene:Zm00001eb004350	1	12077020	12077608	+	589
gene:Zm00001eb004360	1	12181024	12182613	+	1590
gene:Zm00001eb004370	1	12184201	12192434	+	8234
gene:Zm00001eb004380	1	12225833	12228039	-	2207
gene:Zm00001eb004390	1	12225905	12227916	+	2012
gene:Zm00001eb004400	1	12231188	12236708	+	5521
gene:Zm00001eb004410	1	12235692	12237894	-	2203
gene:Zm00001eb004420	1	12250196	12255463	-	5268
gene:Zm00001eb004430	1	12259826	12270517	-	10692
gene:Zm00001eb004440	1	12269760	12274137	+	4378
gene:Zm00001eb004450	1	12295517	12296916	+	1400
gene:Zm00001eb004460	1	12295693	12296799	-	1107
gene:Zm00001eb004470	1	12338113	12339599	-	1487
gene:Zm00001eb004480	1	12339919	12341874	+	1956
gene:Zm00001eb004490	1	12343656	12345162	-	1507
gene:Zm00001eb004500	1	12398256	12406197	+	7942
gene:Zm00001eb004510	1	12406625	12427547	+	20923
gene:Zm00001eb004520	1	12428108	12428598	+	491
gene:Zm00001eb004530	1	12428363	12428656	-	294
gene:Zm00001eb004540	1	12434130	12438763	-	4634
gene:Zm00001eb004550	1	12441876	12448043	-	6168
gene:Zm00001eb004560	1	12516663	12520623	-	3961
gene:Zm00001eb004580	1	12524456	12525674	+	1219
gene:Zm00001eb004570	1	12524456	12527892	-	3437
gene:Zm00001eb004590	1	12528020	12535668	-	7649
gene:Zm00001eb004600	1	12553686	12555464	+	1779
gene:Zm00001eb004610	1	12569227	12569669	+	443
gene:Zm00001eb004620	1	12571269	12571635	-	367
gene:Zm00001eb004630	1	12571270	12577450	+	6181
gene:Zm00001eb004640	1	12582061	12582653	-	593
gene:Zm00001eb004650	1	12588668	12589162	-	495
gene:Zm00001eb004660	1	12616876	12620960	+	4085
gene:Zm00001eb004670	1	12621329	12624469	+	3141
gene:Zm00001eb004680	1	12622829	12624047	-	1219
gene:Zm00001eb004690	1	12649573	12650470	+	898
gene:Zm00001eb004700	1	12676074	12676651	+	578
gene:Zm00001eb004710	1	12753456	12759000	+	5545
gene:Zm00001eb004720	1	12918149	12919161	-	1013
gene:Zm00001eb004730	1	12918242	12919138	+	897
gene:Zm00001eb004740	1	12946795	12948737	-	1943
gene:Zm00001eb004750	1	12947027	12948959	+	1933
gene:Zm00001eb004760	1	13031568	13034810	+	3243
gene:Zm00001eb004770	1	13037019	13041323	+	4305
gene:Zm00001eb004780	1	13056661	13070870	+	14210
gene:Zm00001eb004790	1	13071925	13078304	+	6380
gene:Zm00001eb004800	1	13164776	13165131	+	356
gene:Zm00001eb004810	1	13165905	13167504	+	1600
gene:Zm00001eb004820	1	13231822	13232274	+	453
gene:Zm00001eb004830	1	13262357	13262578	+	222
gene:Zm00001eb004840	1	13266011	13274434	-	8424
gene:Zm00001eb004850	1	13283172	13283498	+	327
gene:Zm00001eb004860	1	13300096	13315554	-	15459
gene:Zm00001eb004870	1	13333378	13334209	+	832
gene:Zm00001eb004880	1	13335301	13335522	+	222
gene:Zm00001eb004890	1	13373447	13374709	+	1263
gene:Zm00001eb004900	1	13375816	13377671	+	1856
gene:Zm00001eb004910	1	13422988	13423484	+	497
gene:Zm00001eb004920	1	13426038	13427959	+	1922
gene:Zm00001eb004930	1	13465819	13468942	-	3124
gene:Zm00001eb004940	1	13470997	13486090	+	15094
gene:Zm00001eb004950	1	13487303	13494955	-	7653
gene:Zm00001eb004960	1	13561560	13567782	-	6223
gene:Zm00001eb004970	1	13569962	13570189	+	228
gene:Zm00001eb004980	1	13622780	13623022	-	243
gene:Zm00001eb004990	1	13653568	13657347	+	3780
gene:Zm00001eb005000	1	13703133	13709126	+	5994
gene:Zm00001eb005010	1	13710040	13722219	+	12180
gene:Zm00001eb005020	1	13757941	13762067	-	4127
gene:Zm00001eb005030	1	13799902	13806468	-	6567
