rs chr ps
S1_1261352 1 1261352
S1_1262107 1 1262107
S1_1262239 1 1262239
S1_1262240 1 1262240
S1_1262275 1 1262275
S1_1262276 1 1262276
S1_1262726 1 1262726
S1_1263006 1 1263006
S1_1263008 1 1263008
S1_1263010 1 1263010
S1_1264473 1 1264473
S1_1264560 1 1264560
S1_1264847 1 1264847
S1_1269342 1 1269342
S1_1269386 1 1269386
S1_1273857 1 1273857
S1_1273858 1 1273858
S1_1273898 1 1273898
S1_1273902 1 1273902
S1_1288629 1 1288629
S1_1288781 1 1288781
S1_1315960 1 1315960
S1_1316411 1 1316411
S1_1327153 1 1327153
S1_1331939 1 1331939
S1_1335448 1 1335448
S1_1335494 1 1335494
S1_1336417 1 1336417
S1_1343322 1 1343322
S1_1354427 1 1354427
S1_1354434 1 1354434
S1_1354482 1 1354482
S1_1354492 1 1354492
S1_1378459 1 1378459
S1_1379686 1 1379686
S1_1405265 1 1405265
S1_1405819 1 1405819
S1_1406467 1 1406467
S1_1418359 1 1418359
S1_1418362 1 1418362
S1_1418462 1 1418462
S1_1432617 1 1432617
S1_1432618 1 1432618
S1_1432620 1 1432620
S1_1434571 1 1434571
S1_1434647 1 1434647
S1_1434764 1 1434764
S1_1434767 1 1434767
S1_1436831 1 1436831
S1_1436914 1 1436914
S1_1436946 1 1436946
S1_1439012 1 1439012
S1_1439013 1 1439013
S1_1443395 1 1443395
S1_1443426 1 1443426
S1_1443769 1 1443769
S1_1463342 1 1463342
S1_1472950 1 1472950
S1_1472976 1 1472976
S1_1472985 1 1472985
S1_1479102 1 1479102
S1_1479153 1 1479153
S1_1488613 1 1488613
S1_1491207 1 1491207
S1_1491209 1 1491209
S1_1491210 1 1491210
S1_1491509 1 1491509
S1_1491548 1 1491548
S1_1498088 1 1498088
S1_1509270 1 1509270
S1_1513453 1 1513453
S1_1513454 1 1513454
S1_1513519 1 1513519
S1_1513535 1 1513535
S1_1518756 1 1518756
S1_1520657 1 1520657
S1_1531373 1 1531373
S1_1534477 1 1534477
S1_1534560 1 1534560
S1_1535135 1 1535135
S1_1536779 1 1536779
S1_1537040 1 1537040
S1_1537041 1 1537041
S1_1537063 1 1537063
S1_1539298 1 1539298
S1_1541205 1 1541205
S1_1541348 1 1541348
S1_1541417 1 1541417
S1_1541469 1 1541469
S1_1552575 1 1552575
S1_1553727 1 1553727
S1_1555142 1 1555142
S1_1559381 1 1559381
S1_1561794 1 1561794
S1_1561826 1 1561826
S1_1572893 1 1572893
S1_1577993 1 1577993
S1_1578037 1 1578037
S1_1579577 1 1579577
S1_1579632 1 1579632
S1_1581214 1 1581214
S1_1602880 1 1602880
S1_1605610 1 1605610
S1_1605615 1 1605615
S1_1611419 1 1611419
S1_1611422 1 1611422
S1_1611452 1 1611452
S1_1624216 1 1624216
S1_1635549 1 1635549
S1_1635551 1 1635551
S1_1635730 1 1635730
S1_1636739 1 1636739
S1_1638482 1 1638482
S1_1638484 1 1638484
S1_1654451 1 1654451
S1_1676936 1 1676936
S1_1681044 1 1681044
S1_1695829 1 1695829
S1_1698648 1 1698648
S1_1699164 1 1699164
S1_1699200 1 1699200
S1_1699363 1 1699363
S1_1699449 1 1699449
S1_1716313 1 1716313
S1_1716323 1 1716323
S1_1756795 1 1756795
S1_1776307 1 1776307
S1_1776540 1 1776540
S1_1776544 1 1776544
S1_1776583 1 1776583
S1_1776674 1 1776674
S1_1776706 1 1776706
S1_1776742 1 1776742
S1_1776806 1 1776806
S1_1779131 1 1779131
S1_1779182 1 1779182
S1_1779209 1 1779209
S1_1779216 1 1779216
S1_1779233 1 1779233
S1_1779427 1 1779427
S1_1779430 1 1779430
S1_1779618 1 1779618
S1_1779645 1 1779645
S1_1779706 1 1779706
S1_1779726 1 1779726
S1_1783116 1 1783116
S1_1783151 1 1783151
S1_1783791 1 1783791
S1_1786608 1 1786608
S1_1787276 1 1787276
S1_1787320 1 1787320
S1_1787345 1 1787345
S1_1787926 1 1787926
S1_1790033 1 1790033
S1_1796914 1 1796914
S1_1800405 1 1800405
S1_1800458 1 1800458
S1_1800463 1 1800463
S1_1800860 1 1800860
S1_1800882 1 1800882
S1_1814203 1 1814203
S1_1817859 1 1817859
S1_1821209 1 1821209
S1_1821830 1 1821830
S1_1822844 1 1822844
S1_1823081 1 1823081
S1_1823269 1 1823269
S1_1823278 1 1823278
S1_1825130 1 1825130
S1_1829822 1 1829822
S1_1829836 1 1829836
S1_1830835 1 1830835
S1_1845508 1 1845508
S1_1848112 1 1848112
S1_1854714 1 1854714
S1_1857549 1 1857549
S1_1857572 1 1857572
S1_1857574 1 1857574
S1_1861513 1 1861513
S1_1873206 1 1873206
S1_1881750 1 1881750
S1_1891470 1 1891470
S1_1891569 1 1891569
S1_1892565 1 1892565
S1_1893363 1 1893363
S1_1893368 1 1893368
S1_1893381 1 1893381
S1_1893406 1 1893406
S1_1893446 1 1893446
S1_1893536 1 1893536
S1_1894405 1 1894405
S1_1897297 1 1897297
S1_1904843 1 1904843
S1_1904872 1 1904872
S1_1904889 1 1904889
S1_1904903 1 1904903
S1_1907055 1 1907055
S1_1907084 1 1907084
S1_1907845 1 1907845
S1_1907850 1 1907850
S1_1908669 1 1908669
S1_1908676 1 1908676
S1_1914493 1 1914493
S1_1919799 1 1919799
S1_1921408 1 1921408
S1_1923676 1 1923676
S1_1933366 1 1933366
S1_1933368 1 1933368
S1_1933369 1 1933369
S1_1933768 1 1933768
S1_1933769 1 1933769
S1_1937763 1 1937763
S1_1937876 1 1937876
S1_1937878 1 1937878
S1_1937882 1 1937882
S1_1942664 1 1942664
S1_1945226 1 1945226
S1_1953596 1 1953596
S1_1960711 1 1960711
S1_1966419 1 1966419
S1_1966452 1 1966452
S1_1966490 1 1966490
S1_1966595 1 1966595
S1_1979804 1 1979804
S1_2000290 1 2000290
S1_2013519 1 2013519
S1_2013555 1 2013555
S1_2014937 1 2014937
S1_2024179 1 2024179
S1_2024180 1 2024180
S1_2024183 1 2024183
S1_2024184 1 2024184
S1_2025543 1 2025543
S1_2025545 1 2025545
S1_2025960 1 2025960
S1_2026022 1 2026022
S1_2026146 1 2026146
S1_2026156 1 2026156
S1_2041781 1 2041781
S1_2043215 1 2043215
S1_2043326 1 2043326
S1_2043518 1 2043518
S1_2043544 1 2043544
S1_2043594 1 2043594
S1_2048622 1 2048622
S1_2051572 1 2051572
S1_2072988 1 2072988
S1_2079180 1 2079180
S1_2082883 1 2082883
S1_2082926 1 2082926
S1_2084752 1 2084752
S1_2085072 1 2085072
S1_2085099 1 2085099
S1_2095712 1 2095712
S1_2100814 1 2100814
S1_2104184 1 2104184
S1_2112744 1 2112744
S1_2112757 1 2112757
S1_2112765 1 2112765
S1_2120961 1 2120961
S1_2121095 1 2121095
S1_2121149 1 2121149
S1_2121266 1 2121266
S1_2127385 1 2127385
S1_2130063 1 2130063
S1_2135758 1 2135758
S1_2136470 1 2136470
S1_2140491 1 2140491
S1_2162903 1 2162903
S1_2164125 1 2164125
S1_2164159 1 2164159
S1_2164190 1 2164190
S1_2167857 1 2167857
S1_2173893 1 2173893
S1_2175745 1 2175745
S1_2179943 1 2179943
S1_2179958 1 2179958
S1_2181098 1 2181098
S1_2196188 1 2196188
S1_2196227 1 2196227
S1_2242358 1 2242358
S1_2242521 1 2242521
S1_2242602 1 2242602
S1_2242610 1 2242610
S1_2244826 1 2244826
S1_2244840 1 2244840
S1_2244850 1 2244850
S1_2244863 1 2244863
S1_2244891 1 2244891
S1_2245544 1 2245544
S1_2245548 1 2245548
S1_2247553 1 2247553
S1_2247632 1 2247632
S1_2247634 1 2247634
S1_2257004 1 2257004
S1_2262753 1 2262753
S1_2266545 1 2266545
S1_2266549 1 2266549
S1_2266572 1 2266572
S1_2274514 1 2274514
S1_2274515 1 2274515
S1_2274535 1 2274535
S1_2274738 1 2274738
S1_2289365 1 2289365
S1_2292620 1 2292620
S1_2292621 1 2292621
S1_2292622 1 2292622
S1_2292727 1 2292727
S1_2292789 1 2292789
S1_2300039 1 2300039
S1_2300043 1 2300043
S1_2300088 1 2300088
S1_2304837 1 2304837
S1_2305443 1 2305443
S1_2305471 1 2305471
S1_2305619 1 2305619
S1_2306110 1 2306110
S1_2306160 1 2306160
S1_2306231 1 2306231
S1_2306402 1 2306402
S1_2306406 1 2306406
S1_2306920 1 2306920
S1_2308456 1 2308456
S1_2308483 1 2308483
S1_2308508 1 2308508
S1_2310873 1 2310873
S1_2317733 1 2317733
S1_2323393 1 2323393
S1_2323459 1 2323459
S1_2327959 1 2327959
S1_2347498 1 2347498
S1_2347879 1 2347879
S1_2348912 1 2348912
S1_2348967 1 2348967
S1_2349022 1 2349022
S1_2349023 1 2349023
S1_2354300 1 2354300
S1_2357462 1 2357462
S1_2359827 1 2359827
S1_2361567 1 2361567
S1_2361591 1 2361591
S1_2361592 1 2361592
S1_2361617 1 2361617
S1_2361683 1 2361683
S1_2361773 1 2361773
S1_2361792 1 2361792
S1_2361870 1 2361870
S1_2361876 1 2361876
S1_2364144 1 2364144
S1_2364166 1 2364166
S1_2368705 1 2368705
S1_2368734 1 2368734
S1_2369344 1 2369344
S1_2369728 1 2369728
S1_2370616 1 2370616
S1_2375482 1 2375482
S1_2378011 1 2378011
S1_2390050 1 2390050
S1_2390485 1 2390485
S1_2390489 1 2390489
S1_2391255 1 2391255
S1_2392602 1 2392602
S1_2392700 1 2392700
S1_2394019 1 2394019
S1_2394041 1 2394041
S1_2400830 1 2400830
S1_2410802 1 2410802
S1_2410972 1 2410972
S1_2412224 1 2412224
S1_2412620 1 2412620
S1_2423852 1 2423852
S1_2427423 1 2427423
S1_2429504 1 2429504
S1_2430196 1 2430196
S1_2438955 1 2438955
S1_2452681 1 2452681
S1_2452682 1 2452682
S1_2453649 1 2453649
S1_2459479 1 2459479
S1_2460647 1 2460647
S1_2460916 1 2460916
S1_2462086 1 2462086
S1_2462401 1 2462401
S1_2462452 1 2462452
S1_2462693 1 2462693
S1_2462702 1 2462702
S1_2463924 1 2463924
S1_2464324 1 2464324
S1_2464385 1 2464385
S1_2464406 1 2464406
S1_2465119 1 2465119
S1_2466311 1 2466311
S1_2466371 1 2466371
S1_2466584 1 2466584
S1_2466695 1 2466695
S1_2470002 1 2470002
S1_2477334 1 2477334
S1_2491555 1 2491555
S1_2491556 1 2491556
S1_2491558 1 2491558
S1_2494086 1 2494086
S1_2494211 1 2494211
S1_2495291 1 2495291
S1_2501384 1 2501384
S1_2501432 1 2501432
S1_2513033 1 2513033
S1_2513042 1 2513042
S1_2513096 1 2513096
S1_2519276 1 2519276
S1_2523325 1 2523325
S1_2523326 1 2523326
S1_2523429 1 2523429
S1_2523439 1 2523439
S1_2523462 1 2523462
S1_2523535 1 2523535
S1_2523953 1 2523953
S1_2535698 1 2535698
S1_2555047 1 2555047
S1_2575913 1 2575913
S1_2578842 1 2578842
S1_2578908 1 2578908
S1_2581922 1 2581922
S1_2590562 1 2590562
S1_2595075 1 2595075
S1_2598604 1 2598604
S1_2602300 1 2602300
S1_2606451 1 2606451
S1_2607100 1 2607100
S1_2611123 1 2611123
S1_2611149 1 2611149
S1_2612909 1 2612909
S1_2628407 1 2628407
S1_2630558 1 2630558
S1_2630571 1 2630571
S1_2630580 1 2630580
S1_2632122 1 2632122
S1_2634675 1 2634675
S1_2634751 1 2634751
S1_2637255 1 2637255
S1_2637538 1 2637538
S1_2640595 1 2640595
S1_2641219 1 2641219
S1_2641236 1 2641236
S1_2652192 1 2652192
S1_2653971 1 2653971
S1_2653972 1 2653972
S1_2655581 1 2655581
S1_2658480 1 2658480
S1_2658526 1 2658526
S1_2662013 1 2662013
S1_2678572 1 2678572
S1_2679625 1 2679625
S1_2680009 1 2680009
S1_2680016 1 2680016
S1_2688523 1 2688523
S1_2690132 1 2690132
S1_2690258 1 2690258
S1_2697264 1 2697264
S1_2697283 1 2697283
S1_2697300 1 2697300
S1_2698328 1 2698328
S1_2698352 1 2698352
S1_2704824 1 2704824
S1_2705691 1 2705691
S1_2705748 1 2705748
S1_2708005 1 2708005
S1_2708069 1 2708069
S1_2708167 1 2708167
S1_2709413 1 2709413
S1_2709452 1 2709452
S1_2709875 1 2709875
S1_2710244 1 2710244
S1_2711628 1 2711628
S1_2712555 1 2712555
S1_2712569 1 2712569
S1_2713563 1 2713563
S1_2713746 1 2713746
S1_2713810 1 2713810
S1_2713869 1 2713869
S1_2713878 1 2713878
S1_2725299 1 2725299
S1_2725330 1 2725330
S1_2730889 1 2730889
S1_2732366 1 2732366
S1_2732473 1 2732473
S1_2734752 1 2734752
S1_2734834 1 2734834
S1_2735106 1 2735106
S1_2735641 1 2735641
S1_2735754 1 2735754
S1_2739023 1 2739023
S1_2739403 1 2739403
S1_2739413 1 2739413
S1_2739417 1 2739417
S1_2739840 1 2739840
S1_2742095 1 2742095
S1_2745215 1 2745215
S1_2759101 1 2759101
S1_2759112 1 2759112
S1_2760577 1 2760577
S1_2767466 1 2767466
S1_2773422 1 2773422
S1_2774522 1 2774522
S1_2789609 1 2789609
S1_2791614 1 2791614
S1_2800091 1 2800091
S1_2800254 1 2800254
S1_2800526 1 2800526
S1_2824406 1 2824406
S1_2824535 1 2824535
S1_2827178 1 2827178
S1_2827256 1 2827256
S1_2828080 1 2828080
S1_2829039 1 2829039
S1_2829282 1 2829282
S1_2834246 1 2834246
S1_2834361 1 2834361
S1_2835489 1 2835489
S1_2835574 1 2835574
S1_2835642 1 2835642
S1_2836404 1 2836404
S1_2836433 1 2836433
S1_2836447 1 2836447
S1_2840547 1 2840547
S1_2840562 1 2840562
S1_2840563 1 2840563
S1_2840564 1 2840564
S1_2840606 1 2840606
S1_2841002 1 2841002
S1_2841007 1 2841007
S1_2841175 1 2841175
S1_2846086 1 2846086
S1_2846304 1 2846304
S1_2853586 1 2853586
S1_2853635 1 2853635
S1_2853975 1 2853975
S1_2854250 1 2854250
S1_2854966 1 2854966
S1_2855126 1 2855126
S1_2866053 1 2866053
S1_2869410 1 2869410
S1_2870288 1 2870288
S1_2870339 1 2870339
S1_2870380 1 2870380
S1_2871468 1 2871468
S1_2872822 1 2872822
S1_2872825 1 2872825
S1_2872828 1 2872828
S1_2877745 1 2877745
S1_2877835 1 2877835
S1_2877896 1 2877896
S1_2877958 1 2877958
S1_2878404 1 2878404
S1_2878499 1 2878499
S1_2878684 1 2878684
S1_2893911 1 2893911
S1_2893912 1 2893912
S1_2893984 1 2893984
S1_2895889 1 2895889
S1_2895948 1 2895948
S1_2895983 1 2895983
S1_2902691 1 2902691
S1_2903636 1 2903636
S1_2903641 1 2903641
S1_2904162 1 2904162
S1_2904185 1 2904185
S1_2905833 1 2905833
S1_2908355 1 2908355
S1_2908725 1 2908725
S1_2908845 1 2908845
S1_2909123 1 2909123
S1_2913981 1 2913981
S1_2918033 1 2918033
S1_2918035 1 2918035
S1_2918434 1 2918434
S1_2918518 1 2918518
S1_2918525 1 2918525
S1_2918561 1 2918561
S1_2918751 1 2918751
S1_2935025 1 2935025
S1_2935107 1 2935107
S1_2935267 1 2935267
S1_2941621 1 2941621
S1_2941984 1 2941984
S1_2942210 1 2942210
S1_2942318 1 2942318
S1_2942333 1 2942333
S1_2947136 1 2947136
S1_2947300 1 2947300
S1_2947429 1 2947429
S1_2950068 1 2950068
S1_2951029 1 2951029
S1_2954793 1 2954793
S1_2954794 1 2954794
S1_2954796 1 2954796
S1_2965249 1 2965249
S1_2965295 1 2965295
S1_2965390 1 2965390
S1_2965435 1 2965435
S1_2966610 1 2966610
S1_2968827 1 2968827
S1_2974887 1 2974887
S1_2985194 1 2985194
S1_3000042 1 3000042
S1_3002453 1 3002453
S1_3002534 1 3002534
S1_3002678 1 3002678
S1_3007721 1 3007721
S1_3007829 1 3007829
S1_3007891 1 3007891
S1_3019873 1 3019873
S1_3020093 1 3020093
S1_3021169 1 3021169
S1_3036427 1 3036427
S1_3037456 1 3037456
S1_3044409 1 3044409
S1_3045496 1 3045496
S1_3045497 1 3045497
S1_3045599 1 3045599
S1_3045611 1 3045611
S1_3045617 1 3045617
S1_3045646 1 3045646
S1_3046386 1 3046386
S1_3048056 1 3048056
S1_3048065 1 3048065
S1_3071207 1 3071207
S1_3071704 1 3071704
S1_3073036 1 3073036
S1_3073041 1 3073041
S1_3076492 1 3076492
S1_3076497 1 3076497
S1_3076524 1 3076524
S1_3076571 1 3076571
S1_3077064 1 3077064
S1_3078429 1 3078429
S1_3079576 1 3079576
S1_3079580 1 3079580
S1_3079713 1 3079713
S1_3081796 1 3081796
S1_3082098 1 3082098
S1_3089293 1 3089293
S1_3090473 1 3090473
S1_3090474 1 3090474
S1_3090501 1 3090501
S1_3100265 1 3100265
S1_3100595 1 3100595
S1_3126759 1 3126759
S1_3130817 1 3130817
S1_3130824 1 3130824
S1_3130826 1 3130826
S1_3130827 1 3130827
S1_3147741 1 3147741
S1_3151563 1 3151563
S1_3154896 1 3154896
S1_3155438 1 3155438
S1_3160566 1 3160566
S1_3163138 1 3163138
S1_3163201 1 3163201
S1_3163203 1 3163203
S1_3165025 1 3165025
S1_3165094 1 3165094
S1_3165830 1 3165830
S1_3165889 1 3165889
S1_3169419 1 3169419
S1_3169642 1 3169642
S1_3169839 1 3169839
S1_3169841 1 3169841
S1_3169920 1 3169920
S1_3169933 1 3169933
S1_3170011 1 3170011
S1_3170092 1 3170092
S1_3172781 1 3172781
S1_3172793 1 3172793
S1_3183295 1 3183295
S1_3183717 1 3183717
S1_3213341 1 3213341
S1_3213374 1 3213374
S1_3215055 1 3215055
S1_3215658 1 3215658
S1_3215660 1 3215660
S1_3215661 1 3215661
S1_3217451 1 3217451
S1_3219053 1 3219053
S1_3219153 1 3219153
S1_3219519 1 3219519
S1_3219961 1 3219961
S1_3219992 1 3219992
S1_3220456 1 3220456
S1_3220464 1 3220464
S1_3220480 1 3220480
S1_3223016 1 3223016
S1_3223030 1 3223030
S1_3223040 1 3223040
S1_3235458 1 3235458
S1_3244506 1 3244506
S1_3244507 1 3244507
S1_3251130 1 3251130
S1_3266202 1 3266202
S1_3266203 1 3266203
S1_3270097 1 3270097
S1_3270185 1 3270185
S1_3275843 1 3275843
S1_3287418 1 3287418
S1_3292699 1 3292699
S1_3296806 1 3296806
S1_3299512 1 3299512
S1_3300232 1 3300232
S1_3300340 1 3300340
S1_3307532 1 3307532
S1_3307536 1 3307536
S1_3310526 1 3310526
S1_3310558 1 3310558
S1_3310559 1 3310559
S1_3313224 1 3313224
S1_3321049 1 3321049
S1_3321875 1 3321875
S1_3322139 1 3322139
S1_3322359 1 3322359
S1_3337527 1 3337527
S1_3337671 1 3337671
S1_3337679 1 3337679
S1_3341360 1 3341360
S1_3341363 1 3341363
S1_3344345 1 3344345
S1_3344368 1 3344368
S1_3344382 1 3344382
S1_3344403 1 3344403
S1_3345882 1 3345882
S1_3346688 1 3346688
S1_3349168 1 3349168
S1_3349833 1 3349833
S1_3354702 1 3354702
S1_3360751 1 3360751
S1_3360824 1 3360824
S1_3370459 1 3370459
S1_3372776 1 3372776
S1_3374058 1 3374058
S1_3374069 1 3374069
S1_3374348 1 3374348
S1_3374403 1 3374403
S1_3374458 1 3374458
S1_3378888 1 3378888
S1_3378889 1 3378889
S1_3379535 1 3379535
S1_3379547 1 3379547
S1_3379605 1 3379605
S1_3379615 1 3379615
S1_3387957 1 3387957
S1_3388032 1 3388032
S1_3388071 1 3388071
S1_3394812 1 3394812
S1_3396454 1 3396454
S1_3396481 1 3396481
S1_3396509 1 3396509
S1_3396515 1 3396515
S1_3397150 1 3397150
S1_3398020 1 3398020
S1_3398159 1 3398159
S1_3398247 1 3398247
S1_3414279 1 3414279
S1_3414294 1 3414294
S1_3414342 1 3414342
S1_3414354 1 3414354
S1_3414374 1 3414374
S1_3414375 1 3414375
S1_3414387 1 3414387
S1_3414957 1 3414957
S1_3414977 1 3414977
S1_3414984 1 3414984
S1_3415100 1 3415100
S1_3415115 1 3415115
S1_3415181 1 3415181
S1_3418033 1 3418033
S1_3418036 1 3418036
S1_3418523 1 3418523
S1_3418560 1 3418560
S1_3455330 1 3455330
S1_3460364 1 3460364
S1_3460887 1 3460887
S1_3461013 1 3461013
S1_3470086 1 3470086
S1_3470828 1 3470828
S1_3471853 1 3471853
S1_3489387 1 3489387
S1_3499636 1 3499636
S1_3499716 1 3499716
S1_3508809 1 3508809
S1_3508919 1 3508919
S1_3508920 1 3508920
S1_3511662 1 3511662
S1_3514434 1 3514434
S1_3525746 1 3525746
S1_3525749 1 3525749
S1_3525750 1 3525750
S1_3525751 1 3525751
S1_3529276 1 3529276
S1_3529638 1 3529638
S1_3529830 1 3529830
S1_3529831 1 3529831
S1_3529836 1 3529836
S1_3532350 1 3532350
S1_3535264 1 3535264
S1_3535869 1 3535869
S1_3535892 1 3535892
S1_3535906 1 3535906
S1_3539875 1 3539875
S1_3539927 1 3539927
S1_3544165 1 3544165
S1_3545447 1 3545447
S1_3545989 1 3545989
S1_3546148 1 3546148
S1_3546231 1 3546231
S1_3547088 1 3547088
S1_3550527 1 3550527
S1_3550528 1 3550528
S1_3551285 1 3551285
S1_3552575 1 3552575
S1_3574206 1 3574206
S1_3605180 1 3605180
S1_3608264 1 3608264
S1_3608275 1 3608275
S1_3608399 1 3608399
S1_3625576 1 3625576
S1_3633853 1 3633853
S1_3643092 1 3643092
S1_3643095 1 3643095
S1_3643098 1 3643098
S1_3643099 1 3643099
S1_3653140 1 3653140
S1_3653764 1 3653764
S1_3653825 1 3653825
S1_3653843 1 3653843
S1_3653855 1 3653855
S1_3659348 1 3659348
S1_3659351 1 3659351
S1_3659409 1 3659409
S1_3672525 1 3672525
S1_3672670 1 3672670
S1_3680875 1 3680875
S1_3680889 1 3680889
S1_3680890 1 3680890
S1_3681116 1 3681116
S1_3682021 1 3682021
S1_3682028 1 3682028
S1_3683433 1 3683433
S1_3683633 1 3683633
S1_3683801 1 3683801
S1_3684654 1 3684654
S1_3684663 1 3684663
S1_3686729 1 3686729
S1_3686745 1 3686745
S1_3686922 1 3686922
S1_3686974 1 3686974
S1_3687035 1 3687035
S1_3688683 1 3688683
S1_3688711 1 3688711
S1_3690862 1 3690862
S1_3696650 1 3696650
S1_3696665 1 3696665
S1_3702215 1 3702215
S1_3704431 1 3704431
S1_3712772 1 3712772
S1_3712793 1 3712793
S1_3719836 1 3719836
S1_3719841 1 3719841
S1_3724683 1 3724683
S1_3724707 1 3724707
S1_3724839 1 3724839
S1_3724874 1 3724874
S1_3731538 1 3731538
S1_3731663 1 3731663
S1_3733192 1 3733192
S1_3733248 1 3733248
S1_3743167 1 3743167
S1_3747689 1 3747689
S1_3752392 1 3752392
S1_3752473 1 3752473
S1_3752518 1 3752518
S1_3766916 1 3766916
S1_3766989 1 3766989
S1_3786698 1 3786698
S1_3789270 1 3789270
S1_3796546 1 3796546
S1_3801349 1 3801349
S1_3801588 1 3801588
S1_3802268 1 3802268
S1_3810605 1 3810605
S1_3810638 1 3810638
S1_3810975 1 3810975
S1_3810990 1 3810990
S1_3811002 1 3811002
S1_3811426 1 3811426
S1_3811437 1 3811437
S1_3817135 1 3817135
S1_3824801 1 3824801
S1_3828177 1 3828177
S1_3828249 1 3828249
S1_3828393 1 3828393
S1_3828417 1 3828417
S1_3828477 1 3828477
S1_3829160 1 3829160
S1_3832053 1 3832053
S1_3832104 1 3832104
S1_3832105 1 3832105
S1_3832219 1 3832219
S1_3832261 1 3832261
S1_3832479 1 3832479
S1_3832482 1 3832482
S1_3844672 1 3844672
S1_3845377 1 3845377
S1_3847196 1 3847196
S1_3847242 1 3847242
S1_3847277 1 3847277
S1_3847294 1 3847294
S1_3847322 1 3847322
S1_3866662 1 3866662
S1_3866811 1 3866811
S1_3868647 1 3868647
S1_3869698 1 3869698
S1_3869743 1 3869743
S1_3871863 1 3871863
S1_3871953 1 3871953
S1_3875155 1 3875155
S1_3885661 1 3885661
S1_3885685 1 3885685
S1_3885722 1 3885722
S1_3896169 1 3896169
S1_3903045 1 3903045
